"","SourceFile","FileName","FileSize","Model","DateTimeOriginal","ImageSize","FocalLength","ShutterSpeed","Aperture","ISO","WhiteBalance","Flash","Sort","Event"
"2410","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/22_18_WF_0375.JPG","22_18_WF_0375.JPG","810 kB","BTC5HDP",2019-01-28 15:03:37,"2000x1111","42.0 mm","1/134",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-28 15:03:37",785
"2411","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/15_14_DEG_000163.JPG","15_14_DEG_000163.JPG","763 kB","",2019-01-28 16:55:15,"2000x1500","","0",2.8,100,"","No Flash","2019-01-28 16:55:15",786
"2412","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/15_14_DEG_000164.JPG","15_14_DEG_000164.JPG","767 kB","",2019-01-28 16:55:16,"2000x1500","","0",2.8,100,"","No Flash","2019-01-28 16:55:16",786
"2413","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/15_14_DEG_000165.JPG","15_14_DEG_000165.JPG","778 kB","",2019-01-28 16:55:16,"2000x1500","","0",2.8,100,"","No Flash","2019-01-28 16:55:16",786
"2414","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/15_14_DEG_000166.JPG","15_14_DEG_000166.JPG","781 kB","",2019-01-28 16:56:53,"2000x1500","","0",2.8,100,"","No Flash","2019-01-28 16:56:53",787
"2415","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/15_14_DEG_000167.JPG","15_14_DEG_000167.JPG","782 kB","",2019-01-28 16:56:53,"2000x1500","","0",2.8,100,"","No Flash","2019-01-28 16:56:53",787
"2416","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/15_14_DEG_000168.JPG","15_14_DEG_000168.JPG","781 kB","",2019-01-28 16:56:54,"2000x1500","","0",2.8,100,"","No Flash","2019-01-28 16:56:54",787
"2417","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/33_01_WF_0187.JPG","33_01_WF_0187.JPG","801 kB","BTC5HDP",2019-01-29 05:46:47,"2000x1111","42.0 mm","20-Jan",2.4,100,"Unknown (288)","Auto, Fired","2019-01-29 05:46:47",788
"2418","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/33_01_WF_0188.JPG","33_01_WF_0188.JPG","720 kB","BTC5HDP",2019-01-29 05:46:49,"2000x1111","42.0 mm","22-Jan",2.4,100,"Unknown (288)","Auto, Fired","2019-01-29 05:46:49",788
"2419","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/33_01_WF_0189.JPG","33_01_WF_0189.JPG","724 kB","BTC5HDP",2019-01-29 05:46:51,"2000x1111","42.0 mm","27-Jan",2.4,100,"Unknown (288)","Auto, Fired","2019-01-29 05:46:51",788
"2420","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/15_14_DEG_000169.JPG","15_14_DEG_000169.JPG","850 kB","",2019-01-29 11:16:54,"2000x1500","","0",2.8,100,"","No Flash","2019-01-29 11:16:54",789
"2421","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/15_14_DEG_000170.JPG","15_14_DEG_000170.JPG","855 kB","",2019-01-29 11:16:54,"2000x1500","","0",2.8,100,"","No Flash","2019-01-29 11:16:54",789
"2422","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/15_14_DEG_000171.JPG","15_14_DEG_000171.JPG","857 kB","",2019-01-29 11:16:55,"2000x1500","","0",2.8,100,"","No Flash","2019-01-29 11:16:55",789
"2423","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/29_19_DEG_0505.JPG","29_19_DEG_0505.JPG","795 kB","BTC5HDP",2019-01-29 12:12:35,"2000x1111","42.0 mm","1/206",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-29 12:12:35",790
"2424","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/29_19_DEG_0506.JPG","29_19_DEG_0506.JPG","793 kB","BTC5HDP",2019-01-29 12:12:37,"2000x1111","42.0 mm","1/206",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-29 12:12:37",790
"2425","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/29_19_DEG_0507.JPG","29_19_DEG_0507.JPG","796 kB","BTC5HDP",2019-01-29 12:12:39,"2000x1111","42.0 mm","1/206",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-29 12:12:39",790
"2426","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/33_01_WF_0190.JPG","33_01_WF_0190.JPG","680 kB","BTC5HDP",2019-01-29 14:34:44,"2000x1111","42.0 mm","1/332",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-29 14:34:44",791
"2427","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/33_01_WF_0191.JPG","33_01_WF_0191.JPG","681 kB","BTC5HDP",2019-01-29 14:34:46,"2000x1111","42.0 mm","1/332",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-29 14:34:46",791
"2428","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/33_01_WF_0192.JPG","33_01_WF_0192.JPG","681 kB","BTC5HDP",2019-01-29 14:34:48,"2000x1111","42.0 mm","1/332",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-29 14:34:48",791
"2429","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/33_01_WF_0193.JPG","33_01_WF_0193.JPG","684 kB","BTC5HDP",2019-01-29 14:38:28,"2000x1111","42.0 mm","1/318",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-29 14:38:28",792
"2430","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/33_01_WF_0194.JPG","33_01_WF_0194.JPG","683 kB","BTC5HDP",2019-01-29 14:38:29,"2000x1111","42.0 mm","1/318",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-29 14:38:29",792
"2431","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/33_01_WF_0195.JPG","33_01_WF_0195.JPG","683 kB","BTC5HDP",2019-01-29 14:38:31,"2000x1111","42.0 mm","1/318",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-29 14:38:31",792
"2432","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/33_01_WF_0196.JPG","33_01_WF_0196.JPG","691 kB","BTC5HDP",2019-01-29 14:48:25,"2000x1111","42.0 mm","1/431",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-29 14:48:25",793
"2433","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/33_01_WF_0197.JPG","33_01_WF_0197.JPG","692 kB","BTC5HDP",2019-01-29 14:48:27,"2000x1111","42.0 mm","1/431",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-29 14:48:27",793
"2434","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/33_01_WF_0198.JPG","33_01_WF_0198.JPG","690 kB","BTC5HDP",2019-01-29 14:48:29,"2000x1111","42.0 mm","1/431",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-29 14:48:29",793
"2435","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/33_01_WF_0199.JPG","33_01_WF_0199.JPG","827 kB","BTC5HDP",2019-01-30 10:13:58,"2000x1111","42.0 mm","1/1117",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-30 10:13:58",794
"2436","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/33_01_WF_0200.JPG","33_01_WF_0200.JPG","829 kB","BTC5HDP",2019-01-30 10:14:00,"2000x1111","42.0 mm","1/1117",2.4,100,"Unknown (288)","Auto, Did not fire","2019-01-30 10:14:00",794
