"","SourceFile","FileName","FileSize","Model","DateTimeOriginal","ImageSize","FocalLength","ShutterSpeed","Aperture","ISO","WhiteBalance","Flash","Sort"
"19","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0046.JPG","27_08_IMG_0046.JPG","733 kB","BTC5HDP",2018-02-25 16:57:14,"2000x1111","42.0 mm","1/400",2.4,100,"Unknown (288)","Auto, Did not fire","2018-02-25 16:57:14"
"20","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0047.JPG","27_08_IMG_0047.JPG","731 kB","BTC5HDP",2018-02-25 16:57:16,"2000x1111","42.0 mm","1/400",2.4,100,"Unknown (288)","Auto, Did not fire","2018-02-25 16:57:16"
"21","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0048.JPG","27_08_IMG_0048.JPG","730 kB","BTC5HDP",2018-02-25 16:57:18,"2000x1111","42.0 mm","1/400",2.4,100,"Unknown (288)","Auto, Did not fire","2018-02-25 16:57:18"
"22","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/33_01_WF_0001.JPG","33_01_WF_0001.JPG","837 kB","BTC5HDP",2018-11-12 17:15:54,"2000x1111","42.0 mm","Jan-40",2.4,200,"Unknown (288)","Auto, Did not fire","2018-11-12 17:15:54"
"23","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/33_01_WF_0002.JPG","33_01_WF_0002.JPG","761 kB","BTC5HDP",2018-11-12 17:15:56,"2000x1111","42.0 mm","Jan-40",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-12 17:15:56"
"24","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/33_01_WF_0003.JPG","33_01_WF_0003.JPG","755 kB","BTC5HDP",2018-11-12 17:15:58,"2000x1111","42.0 mm","15-Jan",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-12 17:15:58"
"25","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0001.JPG","25_09_SH_0001.JPG","804 kB","BTC5HDP",2018-11-13 15:52:00,"2000x1111","42.0 mm","Jan-40",2.4,200,"Unknown (288)","Auto, Did not fire","2018-11-13 15:52:00"
"26","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0002.JPG","25_09_SH_0002.JPG","862 kB","BTC5HDP",2018-11-13 15:52:02,"2000x1111","42.0 mm","15-Jan",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-13 15:52:02"
"27","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0003.JPG","25_09_SH_0003.JPG","849 kB","BTC5HDP",2018-11-13 15:52:04,"2000x1111","42.0 mm","Jan-40",2.4,200,"Unknown (288)","Auto, Did not fire","2018-11-13 15:52:04"
"28","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0004.JPG","25_09_SH_0004.JPG","819 kB","BTC5HDP",2018-11-13 15:53:46,"2000x1111","42.0 mm","15-Jan",2.4,200,"Unknown (288)","Auto, Did not fire","2018-11-13 15:53:46"
"29","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0005.JPG","25_09_SH_0005.JPG","848 kB","BTC5HDP",2018-11-13 15:53:48,"2000x1111","42.0 mm","15-Jan",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-13 15:53:48"
"30","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0006.JPG","25_09_SH_0006.JPG","858 kB","BTC5HDP",2018-11-13 15:53:50,"2000x1111","42.0 mm","15-Jan",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-13 15:53:50"
"31","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0007.JPG","25_09_SH_0007.JPG","844 kB","BTC5HDP",2018-11-13 15:54:51,"2000x1111","42.0 mm","15-Jan",2.4,200,"Unknown (288)","Auto, Did not fire","2018-11-13 15:54:51"
"32","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0008.JPG","25_09_SH_0008.JPG","845 kB","BTC5HDP",2018-11-13 15:54:54,"2000x1111","42.0 mm","15-Jan",2.4,200,"Unknown (288)","Auto, Did not fire","2018-11-13 15:54:54"
"33","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0009.JPG","25_09_SH_0009.JPG","852 kB","BTC5HDP",2018-11-13 15:54:56,"2000x1111","42.0 mm","15-Jan",2.4,200,"Unknown (288)","Auto, Did not fire","2018-11-13 15:54:56"
"34","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0010.JPG","25_09_SH_0010.JPG","830 kB","BTC5HDP",2018-11-13 15:55:56,"2000x1111","42.0 mm","15-Jan",2.4,200,"Unknown (288)","Auto, Did not fire","2018-11-13 15:55:56"
"35","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0011.JPG","25_09_SH_0011.JPG","877 kB","BTC5HDP",2018-11-13 15:55:58,"2000x1111","42.0 mm","15-Jan",2.4,400,"Unknown (288)","Auto, Did not fire","2018-11-13 15:55:58"
"36","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0012.JPG","25_09_SH_0012.JPG","838 kB","BTC5HDP",2018-11-13 15:57:48,"2000x1111","42.0 mm","15-Jan",2.4,200,"Unknown (288)","Auto, Did not fire","2018-11-13 15:57:48"
"37","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0013.JPG","25_09_SH_0013.JPG","835 kB","BTC5HDP",2018-11-13 15:57:50,"2000x1111","42.0 mm","15-Jan",2.4,200,"Unknown (288)","Auto, Did not fire","2018-11-13 15:57:50"
"38","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0014.JPG","25_09_SH_0014.JPG","833 kB","BTC5HDP",2018-11-13 15:57:52,"2000x1111","42.0 mm","15-Jan",2.4,200,"Unknown (288)","Auto, Did not fire","2018-11-13 15:57:52"
"39","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/03_05_SH_000001.JPG","03_05_SH_000001.JPG","873 kB","",2018-11-14 16:00:10,"2000x1500","","0",2.8,100,"","No Flash","2018-11-14 16:00:10"
"40","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/03_05_SH_000002.JPG","03_05_SH_000002.JPG","872 kB","",2018-11-14 16:00:11,"2000x1500","","0",2.8,100,"","No Flash","2018-11-14 16:00:11"
"41","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/03_05_SH_000003.JPG","03_05_SH_000003.JPG","872 kB","",2018-11-14 16:00:11,"2000x1500","","0",2.8,100,"","No Flash","2018-11-14 16:00:11"
"42","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0015.JPG","25_09_SH_0015.JPG","829 kB","BTC5HDP",2018-11-14 22:06:29,"2000x1111","42.0 mm","20-Jan",2.4,1600,"Unknown (288)","Auto, Fired","2018-11-14 22:06:29"
"43","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0016.JPG","25_09_SH_0016.JPG","822 kB","BTC5HDP",2018-11-14 22:06:31,"2000x1111","42.0 mm","20-Jan",2.4,200,"Unknown (288)","Auto, Fired","2018-11-14 22:06:31"
"44","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0017.JPG","25_09_SH_0017.JPG","834 kB","BTC5HDP",2018-11-14 22:06:33,"2000x1111","42.0 mm","20-Jan",2.4,100,"Unknown (288)","Auto, Fired","2018-11-14 22:06:33"
"45","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0018.JPG","25_09_SH_0018.JPG","755 kB","BTC5HDP",2018-11-15 00:59:25,"2000x1111","42.0 mm","20-Jan",2.4,200,"Unknown (288)","Auto, Fired","2018-11-15 00:59:25"
"46","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0019.JPG","25_09_SH_0019.JPG","839 kB","BTC5HDP",2018-11-15 00:59:27,"2000x1111","42.0 mm","20-Jan",2.4,100,"Unknown (288)","Auto, Fired","2018-11-15 00:59:27"
"47","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0020.JPG","25_09_SH_0020.JPG","813 kB","BTC5HDP",2018-11-15 00:59:29,"2000x1111","42.0 mm","20-Jan",2.4,100,"Unknown (288)","Auto, Fired","2018-11-15 00:59:29"
"48","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0021.JPG","25_09_SH_0021.JPG","878 kB","BTC5HDP",2018-11-15 10:10:21,"2000x1111","42.0 mm","Jan-87",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 10:10:21"
"49","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0022.JPG","25_09_SH_0022.JPG","879 kB","BTC5HDP",2018-11-15 10:10:23,"2000x1111","42.0 mm","Jan-91",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 10:10:23"
"50","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0023.JPG","25_09_SH_0023.JPG","878 kB","BTC5HDP",2018-11-15 10:10:25,"2000x1111","42.0 mm","Jan-91",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 10:10:25"
"51","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0024.JPG","25_09_SH_0024.JPG","837 kB","BTC5HDP",2018-11-15 10:11:26,"2000x1111","42.0 mm","Jan-83",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 10:11:26"
"52","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0025.JPG","25_09_SH_0025.JPG","837 kB","BTC5HDP",2018-11-15 10:11:28,"2000x1111","42.0 mm","Jan-87",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 10:11:28"
"53","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0026.JPG","25_09_SH_0026.JPG","837 kB","BTC5HDP",2018-11-15 10:11:30,"2000x1111","42.0 mm","Jan-87",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 10:11:30"
"54","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0027.JPG","25_09_SH_0027.JPG","871 kB","BTC5HDP",2018-11-15 10:12:40,"2000x1111","42.0 mm","Jan-95",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 10:12:40"
"55","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0028.JPG","25_09_SH_0028.JPG","865 kB","BTC5HDP",2018-11-15 10:12:42,"2000x1111","42.0 mm","1/100",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 10:12:42"
"56","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0029.JPG","25_09_SH_0029.JPG","868 kB","BTC5HDP",2018-11-15 10:12:44,"2000x1111","42.0 mm","1/100",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 10:12:44"
"57","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0030.JPG","25_09_SH_0030.JPG","860 kB","BTC5HDP",2018-11-15 10:13:47,"2000x1111","42.0 mm","Jan-79",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 10:13:47"
"58","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0031.JPG","25_09_SH_0031.JPG","874 kB","BTC5HDP",2018-11-15 10:13:49,"2000x1111","42.0 mm","Jan-83",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 10:13:49"
"59","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0032.JPG","25_09_SH_0032.JPG","871 kB","BTC5HDP",2018-11-15 10:13:51,"2000x1111","42.0 mm","Jan-83",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 10:13:51"
"60","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0033.JPG","25_09_SH_0033.JPG","840 kB","BTC5HDP",2018-11-15 10:14:52,"2000x1111","42.0 mm","Jan-95",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 10:14:52"
"61","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0034.JPG","25_09_SH_0034.JPG","839 kB","BTC5HDP",2018-11-15 10:14:54,"2000x1111","42.0 mm","1/112",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 10:14:54"
"62","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0035.JPG","25_09_SH_0035.JPG","842 kB","BTC5HDP",2018-11-15 10:14:56,"2000x1111","42.0 mm","1/112",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 10:14:56"
"63","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0036.JPG","25_09_SH_0036.JPG","844 kB","BTC5HDP",2018-11-15 11:46:50,"2000x1111","42.0 mm","1/120",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 11:46:50"
"64","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0037.JPG","25_09_SH_0037.JPG","841 kB","BTC5HDP",2018-11-15 11:46:52,"2000x1111","42.0 mm","1/128",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 11:46:52"
"65","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/25_09_SH_0038.JPG","25_09_SH_0038.JPG","841 kB","BTC5HDP",2018-11-15 11:46:54,"2000x1111","42.0 mm","1/128",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 11:46:54"
"66","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/24_04_BC_0001.JPG","24_04_BC_0001.JPG","842 kB","BTC5HDP",2018-11-15 12:33:22,"2000x1111","42.0 mm","1/535",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 12:33:22"
"67","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/24_04_BC_0002.JPG","24_04_BC_0002.JPG","860 kB","BTC5HDP",2018-11-15 12:33:24,"2000x1111","42.0 mm","1/583",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 12:33:24"
"68","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/24_04_BC_0003.JPG","24_04_BC_0003.JPG","859 kB","BTC5HDP",2018-11-15 12:33:26,"2000x1111","42.0 mm","1/583",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 12:33:26"
"69","/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/24_04_BC_0004.JPG","24_04_BC_0004.JPG","827 kB","BTC5HDP",2018-11-15 12:34:27,"2000x1111","42.0 mm","1/480",2.4,100,"Unknown (288)","Auto, Did not fire","2018-11-15 12:34:27"
