,SourceFile,FileName,FileSize,Model,DateTimeOriginal,ImageSize,FocalLength,ShutterSpeed,Aperture,ISO,WhiteBalance,Flash,Sort
988,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/30_20_BC_0216.JPG,30_20_BC_0216.JPG,835 kB,BTC5HDP,3/27/17 23:10,2000x1111,42.0 mm,Jan-39,2.4,100,Unknown (288),"Auto, Did not fire",3/27/17 23:10
989,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/30_20_BC_0217.JPG,30_20_BC_0217.JPG,827 kB,BTC5HDP,3/28/17 3:32,2000x1111,42.0 mm,Jan-96,2.4,100,Unknown (288),"Auto, Did not fire",3/28/17 3:32
990,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/30_20_BC_0218.JPG,30_20_BC_0218.JPG,875 kB,BTC5HDP,3/28/17 3:32,2000x1111,42.0 mm,25-Jan,2.4,100,Unknown (288),"Auto, Did not fire",3/28/17 3:32
991,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/30_20_BC_0219.JPG,30_20_BC_0219.JPG,875 kB,BTC5HDP,3/28/17 3:32,2000x1111,42.0 mm,25-Jan,2.4,100,Unknown (288),"Auto, Did not fire",3/28/17 3:32
992,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/30_20_BC_0220.JPG,30_20_BC_0220.JPG,738 kB,BTC5HDP,3/30/17 19:07,2000x1111,42.0 mm,20-Jan,2.4,1600,Unknown (288),"Auto, Fired",3/30/17 19:07
993,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/30_20_BC_0221.JPG,30_20_BC_0221.JPG,768 kB,BTC5HDP,3/30/17 19:07,2000x1111,42.0 mm,20-Jan,2.4,800,Unknown (288),"Auto, Fired",3/30/17 19:07
994,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/30_20_BC_0222.JPG,30_20_BC_0222.JPG,712 kB,BTC5HDP,3/30/17 19:07,2000x1111,42.0 mm,20-Jan,2.4,400,Unknown (288),"Auto, Fired",3/30/17 19:07
995,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/30_20_BC_0223.JPG,30_20_BC_0223.JPG,864 kB,BTC5HDP,4/4/17 4:36,2000x1111,42.0 mm,Jan-74,2.4,100,Unknown (288),"Auto, Did not fire",4/4/17 4:36
996,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/30_20_BC_0224.JPG,30_20_BC_0224.JPG,856 kB,BTC5HDP,4/4/17 4:36,2000x1111,42.0 mm,Jan-96,2.4,100,Unknown (288),"Auto, Did not fire",4/4/17 4:36
997,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/30_20_BC_0225.JPG,30_20_BC_0225.JPG,848 kB,BTC5HDP,4/4/17 4:36,2000x1111,42.0 mm,25-Jan,2.4,100,Unknown (288),"Auto, Did not fire",4/4/17 4:36
998,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/30_20_BC_0226.JPG,30_20_BC_0226.JPG,791 kB,BTC5HDP,4/11/17 5:09,2000x1111,42.0 mm,Jan-44,2.4,100,Unknown (288),"Auto, Did not fire",4/11/17 5:09
999,/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/30_20_BC_0227.JPG,30_20_BC_0227.JPG,781 kB,BTC5HDP,4/11/17 5:09,2000x1111,42.0 mm,Jan-56,2.4,100,Unknown (288),"Auto, Did not fire",4/11/17 5:09
