"","SourceFile","FileName","FileSize","Model","DateTimeOriginal","ImageSize","FocalLength","ShutterSpeed","Aperture","ISO","WhiteBalance","Flash","Event"
"3375","./02_42_WHIP_000001.JPG","02_42_WHIP_000001.JPG","864 kB","",2019-01-24 16:08:58,"2000x1500","","0",2.8,100,"","No Flash",1
"3870","./02_42_WHIP_000002.JPG","02_42_WHIP_000002.JPG","786 kB","",2019-01-24 16:08:59,"2000x1500","","0",2.8,100,"","No Flash",1
"4031","./02_42_WHIP_000003.JPG","02_42_WHIP_000003.JPG","787 kB","",2019-01-24 16:08:59,"2000x1500","","0",2.8,100,"","No Flash",1
"3099","./18_40_WHIP_000001.JPG","18_40_WHIP_000001.JPG","773 kB","",2019-01-24 23:43:45,"2000x1500","","0",2.8,100,"","No Flash",2
"3291","./18_40_WHIP_000002.JPG","18_40_WHIP_000002.JPG","773 kB","",2019-01-24 23:43:46,"2000x1500","","0",2.8,100,"","No Flash",2
"3462","./18_40_WHIP_000003.JPG","18_40_WHIP_000003.JPG","770 kB","",2019-01-24 23:43:46,"2000x1500","","0",2.8,100,"","No Flash",2
"3631","./18_40_WHIP_000004.JPG","18_40_WHIP_000004.JPG","774 kB","",2019-01-24 23:46:03,"2000x1500","","0",2.8,100,"","No Flash",3
"3763","./18_40_WHIP_000005.JPG","18_40_WHIP_000005.JPG","773 kB","",2019-01-24 23:46:04,"2000x1500","","0",2.8,100,"","No Flash",3
"3847","./18_40_WHIP_000006.JPG","18_40_WHIP_000006.JPG","772 kB","",2019-01-24 23:46:04,"2000x1500","","0",2.8,100,"","No Flash",3
"4118","./02_42_WHIP_000004.JPG","02_42_WHIP_000004.JPG","862 kB","",2019-01-25 00:04:39,"2000x1500","","0",2.8,100,"","No Flash",4
"4203","./02_42_WHIP_000005.JPG","02_42_WHIP_000005.JPG","859 kB","",2019-01-25 00:04:40,"2000x1500","","0",2.8,100,"","No Flash",4
"4271","./02_42_WHIP_000006.JPG","02_42_WHIP_000006.JPG","858 kB","",2019-01-25 00:04:40,"2000x1500","","0",2.8,100,"","No Flash",4
"3891","./18_40_WHIP_000007.JPG","18_40_WHIP_000007.JPG","838 kB","",2019-01-25 08:45:15,"2000x1500","","0",2.8,100,"","No Flash",5
"3934","./18_40_WHIP_000008.JPG","18_40_WHIP_000008.JPG","838 kB","",2019-01-25 08:45:15,"2000x1500","","0",2.8,100,"","No Flash",5
"3975","./18_40_WHIP_000009.JPG","18_40_WHIP_000009.JPG","834 kB","",2019-01-25 08:45:16,"2000x1500","","0",2.8,100,"","No Flash",5
"4315","./02_42_WHIP_000007.JPG","02_42_WHIP_000007.JPG","861 kB","",2019-01-25 18:25:11,"2000x1500","","0",2.8,100,"","No Flash",6
"4358","./02_42_WHIP_000008.JPG","02_42_WHIP_000008.JPG","859 kB","",2019-01-25 18:25:11,"2000x1500","","0",2.8,100,"","No Flash",6
"4398","./02_42_WHIP_000009.JPG","02_42_WHIP_000009.JPG","860 kB","",2019-01-25 18:25:12,"2000x1500","","0",2.8,100,"","No Flash",6
"3212","./31_41_WHIP_0001.JPG","31_41_WHIP_0001.JPG","767 kB","BTC5HDP",2019-01-27 10:56:30,"2000x1111","42.0 mm","1/362",2.4,100,"Unknown (288)","Auto, Did not fire",7
"3547","./31_41_WHIP_0002.JPG","31_41_WHIP_0002.JPG","763 kB","BTC5HDP",2019-01-27 10:56:32,"2000x1111","42.0 mm","1/362",2.4,100,"Unknown (288)","Auto, Did not fire",7
"3806","./31_41_WHIP_0003.JPG","31_41_WHIP_0003.JPG","763 kB","BTC5HDP",2019-01-27 10:56:34,"2000x1111","42.0 mm","1/362",2.4,100,"Unknown (288)","Auto, Did not fire",7
"3911","./31_41_WHIP_0004.JPG","31_41_WHIP_0004.JPG","790 kB","BTC5HDP",2019-01-27 23:28:42,"2000x1111","42.0 mm","1/20",2.4,1600,"Unknown (288)","Auto, Fired",8
"3998","./31_41_WHIP_0005.JPG","31_41_WHIP_0005.JPG","840 kB","BTC5HDP",2019-01-27 23:28:44,"2000x1111","42.0 mm","1/20",2.4,200,"Unknown (288)","Auto, Fired",8
"4054","./31_41_WHIP_0006.JPG","31_41_WHIP_0006.JPG","849 kB","BTC5HDP",2019-01-27 23:28:46,"2000x1111","42.0 mm","1/20",2.4,100,"Unknown (288)","Auto, Fired",8
"4095","./31_41_WHIP_0007.JPG","31_41_WHIP_0007.JPG","716 kB","BTC5HDP",2019-01-29 11:15:20,"2000x1111","42.0 mm","1/279",2.4,100,"Unknown (288)","Auto, Did not fire",9
"4139","./31_41_WHIP_0008.JPG","31_41_WHIP_0008.JPG","715 kB","BTC5HDP",2019-01-29 11:15:22,"2000x1111","42.0 mm","1/279",2.4,100,"Unknown (288)","Auto, Did not fire",9
"4182","./31_41_WHIP_0009.JPG","31_41_WHIP_0009.JPG","715 kB","BTC5HDP",2019-01-29 11:15:23,"2000x1111","42.0 mm","1/279",2.4,100,"Unknown (288)","Auto, Did not fire",9
"2972","./32_39_WHIP_0001.JPG","32_39_WHIP_0001.JPG","801 kB","BTC5HDP",2019-01-30 01:44:01,"2000x1111","42.0 mm","1/20",2.4,1600,"Unknown (288)","Auto, Fired",10
"3156","./32_39_WHIP_0002.JPG","32_39_WHIP_0002.JPG","738 kB","BTC5HDP",2019-01-30 01:44:03,"2000x1111","42.0 mm","1/43",2.4,100,"Unknown (288)","Auto, Fired",10
"3247","./32_39_WHIP_0003.JPG","32_39_WHIP_0003.JPG","728 kB","BTC5HDP",2019-01-30 01:44:05,"2000x1111","42.0 mm","1/54",2.4,100,"Unknown (288)","Auto, Fired",10
"4019","./18_40_WHIP_000010.JPG","18_40_WHIP_000010.JPG","789 kB","",2019-01-30 10:23:08,"2000x1500","","0",2.8,100,"","No Flash",11
"4043","./18_40_WHIP_000011.JPG","18_40_WHIP_000011.JPG","778 kB","",2019-01-30 10:23:09,"2000x1500","","0",2.8,100,"","No Flash",11
"4063","./18_40_WHIP_000012.JPG","18_40_WHIP_000012.JPG","727 kB","",2019-01-30 10:23:09,"2000x1500","","0",2.8,100,"","No Flash",11
"4159","./04_36_WF_000001.JPG","04_36_WF_000001.JPG","757 kB","",2019-01-31 15:21:35,"2000x1500","","0",2.8,100,"","No Flash",12
"4549","./04_36_WF_000002.JPG","04_36_WF_000002.JPG","762 kB","",2019-01-31 15:21:36,"2000x1500","","0",2.8,100,"","No Flash",12
"4717","./04_36_WF_000003.JPG","04_36_WF_000003.JPG","761 kB","",2019-01-31 15:21:36,"2000x1500","","0",2.8,100,"","No Flash",12
"3955","./33_32_WF_0001.JPG","33_32_WF_0001.JPG","774 kB","BTC5HDP",2019-01-31 17:26:09,"2000x1111","42.0 mm","1/43",2.4,100,"Unknown (288)","Auto, Fired",13
"4294","./33_32_WF_0002.JPG","33_32_WF_0002.JPG","765 kB","BTC5HDP",2019-01-31 17:26:11,"2000x1111","42.0 mm","1/54",2.4,100,"Unknown (288)","Auto, Fired",13
"4462","./33_32_WF_0003.JPG","33_32_WF_0003.JPG","758 kB","BTC5HDP",2019-01-31 17:26:13,"2000x1111","42.0 mm","1/59",2.4,100,"Unknown (288)","Auto, Fired",13
"4590","./33_32_WF_0004.JPG","33_32_WF_0004.JPG","782 kB","BTC5HDP",2019-01-31 17:27:14,"2000x1111","42.0 mm","1/38",2.4,100,"Unknown (288)","Auto, Fired",14
"4676","./33_32_WF_0005.JPG","33_32_WF_0005.JPG","763 kB","BTC5HDP",2019-01-31 17:27:16,"2000x1111","42.0 mm","1/56",2.4,100,"Unknown (288)","Auto, Fired",14
"4761","./33_32_WF_0006.JPG","33_32_WF_0006.JPG","759 kB","BTC5HDP",2019-01-31 17:27:18,"2000x1111","42.0 mm","1/59",2.4,100,"Unknown (288)","Auto, Fired",14
"4844","./33_32_WF_0007.JPG","33_32_WF_0007.JPG","784 kB","BTC5HDP",2019-01-31 17:28:19,"2000x1111","42.0 mm","1/38",2.4,100,"Unknown (288)","Auto, Fired",15
"4931","./33_32_WF_0008.JPG","33_32_WF_0008.JPG","761 kB","BTC5HDP",2019-01-31 17:28:21,"2000x1111","42.0 mm","1/56",2.4,100,"Unknown (288)","Auto, Fired",15
"5015","./33_32_WF_0009.JPG","33_32_WF_0009.JPG","763 kB","BTC5HDP",2019-01-31 17:28:23,"2000x1111","42.0 mm","1/56",2.4,100,"Unknown (288)","Auto, Fired",15
"3719","./22_31_WF_0001.JPG","22_31_WF_0001.JPG","704 kB","BTC5HDP",2019-02-03 16:23:40,"2000x1111","42.0 mm","1/76",2.4,100,"Unknown (288)","Auto, Did not fire",16
"4075","./22_31_WF_0002.JPG","22_31_WF_0002.JPG","702 kB","BTC5HDP",2019-02-03 16:23:42,"2000x1111","42.0 mm","1/76",2.4,100,"Unknown (288)","Auto, Did not fire",16
"4246","./22_31_WF_0003.JPG","22_31_WF_0003.JPG","699 kB","BTC5HDP",2019-02-03 16:23:44,"2000x1111","42.0 mm","1/76",2.4,100,"Unknown (288)","Auto, Did not fire",16
"4335","./22_31_WF_0004.JPG","22_31_WF_0004.JPG","706 kB","BTC5HDP",2019-02-03 16:28:44,"2000x1111","42.0 mm","1/73",2.4,100,"Unknown (288)","Auto, Did not fire",17
"4421","./22_31_WF_0005.JPG","22_31_WF_0005.JPG","706 kB","BTC5HDP",2019-02-03 16:28:46,"2000x1111","42.0 mm","1/73",2.4,100,"Unknown (288)","Auto, Did not fire",17
"4506","./22_31_WF_0006.JPG","22_31_WF_0006.JPG","705 kB","BTC5HDP",2019-02-03 16:28:48,"2000x1111","42.0 mm","1/73",2.4,100,"Unknown (288)","Auto, Did not fire",17
"4570","./22_31_WF_0007.JPG","22_31_WF_0007.JPG","712 kB","BTC5HDP",2019-02-03 16:29:48,"2000x1111","42.0 mm","1/73",2.4,100,"Unknown (288)","Auto, Did not fire",17
"4613","./22_31_WF_0008.JPG","22_31_WF_0008.JPG","708 kB","BTC5HDP",2019-02-03 16:29:49,"2000x1111","42.0 mm","1/76",2.4,100,"Unknown (288)","Auto, Did not fire",17
"4653","./22_31_WF_0009.JPG","22_31_WF_0009.JPG","708 kB","BTC5HDP",2019-02-03 16:29:51,"2000x1111","42.0 mm","1/76",2.4,100,"Unknown (288)","Auto, Did not fire",17
"4697","./22_31_WF_0010.JPG","22_31_WF_0010.JPG","704 kB","BTC5HDP",2019-02-03 16:32:01,"2000x1111","42.0 mm","1/67",2.4,100,"Unknown (288)","Auto, Did not fire",18
"4740","./22_31_WF_0011.JPG","22_31_WF_0011.JPG","705 kB","BTC5HDP",2019-02-03 16:32:03,"2000x1111","42.0 mm","1/67",2.4,100,"Unknown (288)","Auto, Did not fire",18
