"","SourceFile","FileName","FileSize","Model","DateTimeOriginal","ImageSize","FocalLength","ShutterSpeed","Aperture","ISO","WhiteBalance","Flash","Event"
"12352","./28_08_DEG_1609.JPG","28_08_DEG_1609.JPG","845 kB","BTC5HDP",2019-08-27 11:09:21,"2000x1111","42.0 mm","Jan-83",2.4,100,"Unknown (288)","Auto, Did not fire",3770
"12353","./28_08_DEG_1610.JPG","28_08_DEG_1610.JPG","857 kB","BTC5HDP",2019-08-27 11:09:24,"2000x1111","42.0 mm","1/108",2.4,100,"Unknown (288)","Auto, Did not fire",3770
"12354","./28_08_DEG_1611.JPG","28_08_DEG_1611.JPG","858 kB","BTC5HDP",2019-08-27 11:09:26,"2000x1111","42.0 mm","1/117",2.4,100,"Unknown (288)","Auto, Did not fire",3770
"12355","./28_08_DEG_1612.JPG","28_08_DEG_1612.JPG","861 kB","BTC5HDP",2019-08-27 11:17:05,"2000x1111","42.0 mm","1/134",2.4,100,"Unknown (288)","Auto, Did not fire",3771
"12356","./28_08_DEG_1613.JPG","28_08_DEG_1613.JPG","850 kB","BTC5HDP",2019-08-27 11:17:08,"2000x1111","42.0 mm","1/112",2.4,100,"Unknown (288)","Auto, Did not fire",3771
"12357","./28_08_DEG_1614.JPG","28_08_DEG_1614.JPG","876 kB","BTC5HDP",2019-08-27 11:17:10,"2000x1111","42.0 mm","Jan-91",2.4,100,"Unknown (288)","Auto, Did not fire",3771
"12358","./28_08_DEG_1615.JPG","28_08_DEG_1615.JPG","810 kB","BTC5HDP",2019-08-27 11:21:17,"2000x1111","42.0 mm","Jan-73",2.4,100,"Unknown (288)","Auto, Did not fire",3772
"12359","./28_08_DEG_1616.JPG","28_08_DEG_1616.JPG","858 kB","BTC5HDP",2019-08-27 11:21:20,"2000x1111","42.0 mm","Jan-60",2.4,100,"Unknown (288)","Auto, Did not fire",3772
"12360","./28_08_DEG_1617.JPG","28_08_DEG_1617.JPG","855 kB","BTC5HDP",2019-08-27 11:21:22,"2000x1111","42.0 mm","Jan-54",2.4,100,"Unknown (288)","Auto, Did not fire",3772
"12361","./18_18_DEG_001966.JPG","18_18_DEG_001966.JPG","859 kB","",2019-08-27 11:21:52,"2000x1500","","0",2.8,100,"","No Flash",3772
"12362","./18_18_DEG_001967.JPG","18_18_DEG_001967.JPG","859 kB","",2019-08-27 11:21:52,"2000x1500","","0",2.8,100,"","No Flash",3772
"12363","./18_18_DEG_001968.JPG","18_18_DEG_001968.JPG","864 kB","",2019-08-27 11:21:53,"2000x1500","","0",2.8,100,"","No Flash",3772
"12364","./18_18_DEG_001969.JPG","18_18_DEG_001969.JPG","864 kB","",2019-08-27 11:26:00,"2000x1500","","0",2.8,100,"","No Flash",3773
"12365","./18_18_DEG_001970.JPG","18_18_DEG_001970.JPG","866 kB","",2019-08-27 11:26:01,"2000x1500","","0",2.8,100,"","No Flash",3773
"12366","./18_18_DEG_001971.JPG","18_18_DEG_001971.JPG","862 kB","",2019-08-27 11:26:01,"2000x1500","","0",2.8,100,"","No Flash",3773
"12367","./18_18_DEG_001972.JPG","18_18_DEG_001972.JPG","859 kB","",2019-08-27 11:30:01,"2000x1500","","0",2.8,100,"","No Flash",3774
"12368","./18_18_DEG_001973.JPG","18_18_DEG_001973.JPG","862 kB","",2019-08-27 11:30:01,"2000x1500","","0",2.8,100,"","No Flash",3774
"12369","./18_18_DEG_001974.JPG","18_18_DEG_001974.JPG","865 kB","",2019-08-27 11:30:02,"2000x1500","","0",2.8,100,"","No Flash",3774
