"","SourceFile","FileName","FileSize","Model","DateTimeOriginal","ImageSize","FocalLength","ShutterSpeed","Aperture","ISO","WhiteBalance","Flash","cam_num","Event"
"1","./27_08_IMG_0001.jpg","27_08_IMG_0001.jpg","349 kB","BTC5HDP",2018-12-13 13:49:04,"2000x1111","42.0 mm","1/1800",2.4,100,"Unknown (288)","Auto, Did not fire","27_08",1
"2","./27_08_IMG_0002.jpg","27_08_IMG_0002.jpg","341 kB","BTC5HDP",2018-12-13 13:49:06,"2000x1111","42.0 mm","1/1200",2.4,100,"Unknown (288)","Auto, Did not fire","27_08",1
"3","./27_08_IMG_0003.jpg","27_08_IMG_0003.jpg","382 kB","BTC5HDP",2018-12-13 13:49:08,"2000x1111","42.0 mm","1/1500",2.4,100,"Unknown (288)","Auto, Did not fire","27_08",1
"4","./27_08_IMG_0004.jpg","27_08_IMG_0004.jpg","433 kB","BTC5HDP",2018-12-16 20:51:46,"2000x1111","42.0 mm","1/20",2.4,1600,"Unknown (288)","Auto, Fired","27_08",2
"5","./27_08_IMG_0005.jpg","27_08_IMG_0005.jpg","308 kB","BTC5HDP",2018-12-16 20:51:48,"2000x1111","42.0 mm","1/20",2.4,400,"Unknown (288)","Auto, Fired","27_08",2
"6","./27_08_IMG_0006.jpg","27_08_IMG_0006.jpg","298 kB","BTC5HDP",2018-12-16 20:51:50,"2000x1111","42.0 mm","1/20",2.4,400,"Unknown (288)","Auto, Fired","27_08",2
"7","./27_08_IMG_0007.jpg","27_08_IMG_0007.jpg","229 kB","BTC5HDP",2018-12-17 22:15:56,"2000x1111","42.0 mm","1/20",2.4,400,"Unknown (288)","Auto, Fired","27_08",3
"8","./27_08_IMG_0008.jpg","27_08_IMG_0008.jpg","209 kB","BTC5HDP",2018-12-17 22:15:58,"2000x1111","42.0 mm","1/20",2.4,200,"Unknown (288)","Auto, Fired","27_08",3
"9","./27_08_IMG_0009.jpg","27_08_IMG_0009.jpg","186 kB","BTC5HDP",2018-12-17 22:16:00,"2000x1111","42.0 mm","1/20",2.4,100,"Unknown (288)","Auto, Fired","27_08",3
"10","./27_08_IMG_0010.jpg","27_08_IMG_0010.jpg","795 kB","BTC5HDP",2018-12-20 13:16:23,"2000x1111","42.0 mm","1/480",2.4,100,"Unknown (288)","Auto, Did not fire","27_08",4
"11","./27_08_IMG_0011.jpg","27_08_IMG_0011.jpg","781 kB","BTC5HDP",2018-12-20 13:16:25,"2000x1111","42.0 mm","1/540",2.4,100,"Unknown (288)","Auto, Did not fire","27_08",4
"12","./27_08_IMG_0012.jpg","27_08_IMG_0012.jpg","780 kB","BTC5HDP",2018-12-20 13:16:27,"2000x1111","42.0 mm","1/540",2.4,100,"Unknown (288)","Auto, Did not fire","27_08",4
"13","./27_08_IMG_0013.jpg","27_08_IMG_0013.jpg","807 kB","BTC5HDP",2018-12-20 13:19:06,"2000x1111","42.0 mm","1/480",2.4,100,"Unknown (288)","Auto, Did not fire","27_08",5
"14","./27_08_IMG_0014.jpg","27_08_IMG_0014.jpg","801 kB","BTC5HDP",2018-12-20 13:19:08,"2000x1111","42.0 mm","1/500",2.4,100,"Unknown (288)","Auto, Did not fire","27_08",5
"15","./27_08_IMG_0015.jpg","27_08_IMG_0015.jpg","801 kB","BTC5HDP",2018-12-20 13:19:10,"2000x1111","42.0 mm","1/500",2.4,100,"Unknown (288)","Auto, Did not fire","27_08",5
"16","./27_08_IMG_0016.jpg","27_08_IMG_0016.jpg","269 kB","BTC5HDP",2018-12-20 22:53:09,"2000x1111","42.0 mm","1/20",2.4,200,"Unknown (288)","Auto, Fired","27_08",6
"17","./27_08_IMG_0017.jpg","27_08_IMG_0017.jpg","170 kB","BTC5HDP",2018-12-20 22:53:11,"2000x1111","42.0 mm","1/20",2.4,100,"Unknown (288)","Auto, Fired","27_08",6
"18","./27_08_IMG_0018.jpg","27_08_IMG_0018.jpg","251 kB","BTC5HDP",2018-12-20 22:53:13,"2000x1111","42.0 mm","1/20",2.4,200,"Unknown (288)","Auto, Fired","27_08",6
"19","./27_08_IMG_0019.jpg","27_08_IMG_0019.jpg","270 kB","BTC5HDP",2018-12-20 22:54:32,"2000x1111","42.0 mm","1/20",2.4,200,"Unknown (288)","Auto, Fired","27_08",7
"20","./27_08_IMG_0020.jpg","27_08_IMG_0020.jpg","277 kB","BTC5HDP",2018-12-20 22:54:34,"2000x1111","42.0 mm","1/20",2.4,200,"Unknown (288)","Auto, Fired","27_08",7
"21","./27_08_IMG_0021.jpg","27_08_IMG_0021.jpg","278 kB","BTC5HDP",2018-12-20 22:54:35,"2000x1111","42.0 mm","1/20",2.4,200,"Unknown (288)","Auto, Fired","27_08",7
"22","./27_08_IMG_0022.jpg","27_08_IMG_0022.jpg","279 kB","BTC5HDP",2018-12-21 00:45:51,"2000x1111","42.0 mm","1/20",2.4,200,"Unknown (288)","Auto, Fired","27_08",8
"23","./27_08_IMG_0023.jpg","27_08_IMG_0023.jpg","286 kB","BTC5HDP",2018-12-21 00:45:53,"2000x1111","42.0 mm","1/20",2.4,200,"Unknown (288)","Auto, Fired","27_08",8
"24","./27_08_IMG_0024.jpg","27_08_IMG_0024.jpg","289 kB","BTC5HDP",2018-12-21 00:45:55,"2000x1111","42.0 mm","1/20",2.4,200,"Unknown (288)","Auto, Fired","27_08",8
"25","./27_08_IMG_0025.jpg","27_08_IMG_0025.jpg","431 kB","BTC5HDP",2018-12-31 18:16:45,"2000x1111","42.0 mm","1/20",2.4,1600,"Unknown (288)","Auto, Fired","27_08",9
"26","./27_08_IMG_0026.jpg","27_08_IMG_0026.jpg","318 kB","BTC5HDP",2018-12-31 18:16:47,"2000x1111","42.0 mm","1/20",2.4,400,"Unknown (288)","Auto, Fired","27_08",9
"27","./27_08_IMG_0027.jpg","27_08_IMG_0027.jpg","295 kB","BTC5HDP",2018-12-31 18:16:49,"2000x1111","42.0 mm","1/20",2.4,400,"Unknown (288)","Auto, Fired","27_08",9
