SourceFile,FileName,FileSize,Model,DateTimeOriginal,ImageSize,FocalLength,ShutterSpeed,Aperture,ISO,WhiteBalance,Flash
./21_40_DON_0997.JPG,21_40_DON_0997.JPG,852 kB,BTC5HDP,2019:11:01 07:56:14,2000x1111,42.0 mm,1/40,2.4,200,Unknown (288),"Auto, Did not fire"
./._21_40_DON_0997.JPG,._21_40_DON_0997.JPG,4.0 kB,,,,,,,,,
./21_40_DON_0998.JPG,21_40_DON_0998.JPG,855 kB,BTC5HDP,2019:11:01 07:56:16,2000x1111,42.0 mm,1/40,2.4,200,Unknown (288),"Auto, Did not fire"
./._21_40_DON_0998.JPG,._21_40_DON_0998.JPG,4.0 kB,,,,,,,,,
./21_40_DON_0999.JPG,21_40_DON_0999.JPG,855 kB,BTC5HDP,2019:11:01 07:56:18,2000x1111,42.0 mm,1/40,2.4,200,Unknown (288),"Auto, Did not fire"
./._21_40_DON_0999.JPG,._21_40_DON_0999.JPG,4.0 kB,,,,,,,,,
./21_40_DON_1000.JPG,21_40_DON_1000.JPG,858 kB,BTC5HDP,2019:11:01 07:58:00,2000x1111,42.0 mm,1/40,2.4,200,Unknown (288),"Auto, Did not fire"
./._21_40_DON_1000.JPG,._21_40_DON_1000.JPG,4.0 kB,,,,,,,,,
./21_40_DON_1001.JPG,21_40_DON_1001.JPG,862 kB,BTC5HDP,2019:11:01 07:58:02,2000x1111,42.0 mm,1/40,2.4,200,Unknown (288),"Auto, Did not fire"
./._21_40_DON_1001.JPG,._21_40_DON_1001.JPG,4.0 kB,,,,,,,,,
./21_40_DON_1002.JPG,21_40_DON_1002.JPG,852 kB,BTC5HDP,2019:11:01 07:58:04,2000x1111,42.0 mm,1/40,2.4,200,Unknown (288),"Auto, Did not fire"
./._21_40_DON_1002.JPG,._21_40_DON_1002.JPG,4.0 kB,,,,,,,,,
./21_40_DON_1003.JPG,21_40_DON_1003.JPG,823 kB,BTC5HDP,2019:11:01 07:59:09,2000x1111,42.0 mm,1/40,2.4,200,Unknown (288),"Auto, Did not fire"
./._21_40_DON_1003.JPG,._21_40_DON_1003.JPG,4.0 kB,,,,,,,,,
./21_40_DON_1004.JPG,21_40_DON_1004.JPG,830 kB,BTC5HDP,2019:11:01 07:59:11,2000x1111,42.0 mm,1/40,2.4,200,Unknown (288),"Auto, Did not fire"
./._21_40_DON_1004.JPG,._21_40_DON_1004.JPG,4.0 kB,,,,,,,,,
./21_40_DON_1005.JPG,21_40_DON_1005.JPG,823 kB,BTC5HDP,2019:11:01 07:59:13,2000x1111,42.0 mm,1/40,2.4,200,Unknown (288),"Auto, Did not fire"
./._21_40_DON_1005.JPG,._21_40_DON_1005.JPG,4.0 kB,,,,,,,,,
./21_40_DON_1006.JPG,21_40_DON_1006.JPG,806 kB,BTC5HDP,2019:11:01 08:00:13,2000x1111,42.0 mm,1/40,2.4,200,Unknown (288),"Auto, Did not fire"
./._21_40_DON_1006.JPG,._21_40_DON_1006.JPG,4.0 kB,,,,,,,,,
./21_40_DON_1007.JPG,21_40_DON_1007.JPG,818 kB,BTC5HDP,2019:11:01 08:00:16,2000x1111,42.0 mm,1/40,2.4,200,Unknown (288),"Auto, Did not fire"
./._21_40_DON_1007.JPG,._21_40_DON_1007.JPG,4.0 kB,,,,,,,,,
./21_40_DON_1008.JPG,21_40_DON_1008.JPG,815 kB,BTC5HDP,2019:11:01 08:00:18,2000x1111,42.0 mm,1/40,2.4,200,Unknown (288),"Auto, Did not fire"
./._21_40_DON_1008.JPG,._21_40_DON_1008.JPG,4.0 kB,,,,,,,,,
./21_40_DON_1009.JPG,21_40_DON_1009.JPG,811 kB,BTC5HDP,2019:11:01 08:01:21,2000x1111,42.0 mm,1/40,2.4,200,Unknown (288),"Auto, Did not fire"
./._21_40_DON_1009.JPG,._21_40_DON_1009.JPG,4.0 kB,,,,,,,,,
./21_40_DON_1010.JPG,21_40_DON_1010.JPG,812 kB,BTC5HDP,2019:11:01 08:01:24,2000x1111,42.0 mm,1/40,2.4,200,Unknown (288),"Auto, Did not fire"
./._21_40_DON_1010.JPG,._21_40_DON_1010.JPG,4.0 kB,,,,,,,,,
./21_40_DON_1011.JPG,21_40_DON_1011.JPG,802 kB,BTC5HDP,2019:11:01 08:01:26,2000x1111,42.0 mm,1/40,2.4,200,Unknown (288),"Auto, Did not fire"
./._21_40_DON_1011.JPG,._21_40_DON_1011.JPG,4.0 kB,,,,,,,,,
./21_40_DON_1012.JPG,21_40_DON_1012.JPG,803 kB,BTC5HDP,2019:11:01 08:02:48,2000x1111,42.0 mm,1/40,2.4,200,Unknown (288),"Auto, Did not fire"
./._21_40_DON_1012.JPG,._21_40_DON_1012.JPG,4.0 kB,,,,,,,,,
./21_40_DON_1013.JPG,21_40_DON_1013.JPG,813 kB,BTC5HDP,2019:11:01 08:02:50,2000x1111,42.0 mm,1/40,2.4,200,Unknown (288),"Auto, Did not fire"
./._21_40_DON_1013.JPG,._21_40_DON_1013.JPG,4.0 kB,,,,,,,,,
