"","SourceFile","FileName","FileSize","Model","DateTimeOriginal","ImageSize","FocalLength","ShutterSpeed","Aperture","ISO","WhiteBalance","Flash","Event"
"379","./14_25_DON_000001.JPG","14_25_DON_000001.JPG","710 kB","",2019-09-19 06:38:41,"2000x1500","","0",2.8,100,"","No Flash",1
"381","./14_25_DON_000002.JPG","14_25_DON_000002.JPG","710 kB","",2019-09-19 06:38:41,"2000x1500","","0",2.8,100,"","No Flash",1
"383","./14_25_DON_000003.JPG","14_25_DON_000003.JPG","711 kB","",2019-09-19 06:38:42,"2000x1500","","0",2.8,100,"","No Flash",1
"1","./30_17_DON_0001.JPG","30_17_DON_0001.JPG","854 kB","BTC5HDP",2019-09-20 04:15:16,"2000x1111","42.0 mm","1/20",2.4,1600,"Unknown (288)","Auto, Fired",2
"3","./30_17_DON_0002.JPG","30_17_DON_0002.JPG","873 kB","BTC5HDP",2019-09-20 04:15:18,"2000x1111","42.0 mm","1/20",2.4,200,"Unknown (288)","Auto, Fired",2
"5","./30_17_DON_0003.JPG","30_17_DON_0003.JPG","782 kB","BTC5HDP",2019-09-20 04:15:20,"2000x1111","42.0 mm","1/20",2.4,200,"Unknown (288)","Auto, Fired",2
"472","./28_01_SH_0001.JPG","28_01_SH_0001.JPG","877 kB","BTC5HDP",2019-09-20 11:12:21,"2000x1111","42.0 mm","1/67",2.4,100,"Unknown (288)","Auto, Did not fire",3
"504","./28_01_SH_0002.JPG","28_01_SH_0002.JPG","872 kB","BTC5HDP",2019-09-20 11:12:23,"2000x1111","42.0 mm","1/73",2.4,100,"Unknown (288)","Auto, Did not fire",3
"536","./28_01_SH_0003.JPG","28_01_SH_0003.JPG","872 kB","BTC5HDP",2019-09-20 11:12:25,"2000x1111","42.0 mm","1/73",2.4,100,"Unknown (288)","Auto, Did not fire",3
"568","./28_01_SH_0004.JPG","28_01_SH_0004.JPG","860 kB","BTC5HDP",2019-09-20 18:04:42,"2000x1111","42.0 mm","1/15",2.4,200,"Unknown (288)","Auto, Did not fire",4
"600","./28_01_SH_0005.JPG","28_01_SH_0005.JPG","861 kB","BTC5HDP",2019-09-20 18:04:44,"2000x1111","42.0 mm","1/15",2.4,400,"Unknown (288)","Auto, Did not fire",4
"632","./28_01_SH_0006.JPG","28_01_SH_0006.JPG","819 kB","BTC5HDP",2019-09-20 18:04:46,"2000x1111","42.0 mm","1/15",2.4,800,"Unknown (288)","Auto, Did not fire",4
"664","./28_01_SH_0007.JPG","28_01_SH_0007.JPG","845 kB","BTC5HDP",2019-09-20 18:05:47,"2000x1111","42.0 mm","1/15",2.4,200,"Unknown (288)","Auto, Did not fire",5
"696","./28_01_SH_0008.JPG","28_01_SH_0008.JPG","866 kB","BTC5HDP",2019-09-20 18:05:50,"2000x1111","42.0 mm","1/15",2.4,200,"Unknown (288)","Auto, Did not fire",5
"728","./28_01_SH_0009.JPG","28_01_SH_0009.JPG","866 kB","BTC5HDP",2019-09-20 18:05:52,"2000x1111","42.0 mm","1/15",2.4,200,"Unknown (288)","Auto, Did not fire",5
"2117","./15_06_SH_000001.JPG","15_06_SH_000001.JPG","857 kB","",2019-09-20 19:23:52,"2000x1500","","0",2.8,100,"","No Flash",6
"2122","./15_06_SH_000002.JPG","15_06_SH_000002.JPG","857 kB","",2019-09-20 19:23:52,"2000x1500","","0",2.8,100,"","No Flash",6
"2125","./15_06_SH_000003.JPG","15_06_SH_000003.JPG","856 kB","",2019-09-20 19:23:53,"2000x1500","","0",2.8,100,"","No Flash",6
"2129","./15_06_SH_000004.JPG","15_06_SH_000004.JPG","857 kB","",2019-09-20 19:24:59,"2000x1500","","0",2.8,100,"","No Flash",7
"1770","./15_06_SH_000005.JPG","15_06_SH_000005.JPG","855 kB","",2019-09-20 19:25:00,"2000x1500","","0",2.8,100,"","No Flash",7
"2135","./15_06_SH_000006.JPG","15_06_SH_000006.JPG","854 kB","",2019-09-20 19:25:01,"2000x1500","","0",2.8,100,"","No Flash",7
"1530","./02_07_SH_000001.JPG","02_07_SH_000001.JPG","867 kB","",2019-09-20 21:34:57,"2000x1500","","0",2.8,100,"","No Flash",8
"1540","./02_07_SH_000002.JPG","02_07_SH_000002.JPG","865 kB","",2019-09-20 21:34:57,"2000x1500","","0",2.8,100,"","No Flash",8
"1598","./02_07_SH_000003.JPG","02_07_SH_000003.JPG","865 kB","",2019-09-20 21:34:58,"2000x1500","","0",2.8,100,"","No Flash",8
"1604","./02_07_SH_000004.JPG","02_07_SH_000004.JPG","866 kB","",2019-09-20 21:36:41,"2000x1500","","0",2.8,100,"","No Flash",9
"1611","./02_07_SH_000005.JPG","02_07_SH_000005.JPG","863 kB","",2019-09-20 21:36:41,"2000x1500","","0",2.8,100,"","No Flash",9
"1618","./02_07_SH_000006.JPG","02_07_SH_000006.JPG","863 kB","",2019-09-20 21:36:42,"2000x1500","","0",2.8,100,"","No Flash",9
"760","./28_01_SH_0010.JPG","28_01_SH_0010.JPG","822 kB","BTC5HDP",2019-09-20 22:20:01,"2000x1111","42.0 mm","1/20",2.4,800,"Unknown (288)","Auto, Fired",10
"792","./28_01_SH_0011.JPG","28_01_SH_0011.JPG","739 kB","BTC5HDP",2019-09-20 22:20:03,"2000x1111","42.0 mm","1/20",2.4,800,"Unknown (288)","Auto, Fired",10
"824","./28_01_SH_0012.JPG","28_01_SH_0012.JPG","873 kB","BTC5HDP",2019-09-20 22:20:05,"2000x1111","42.0 mm","1/20",2.4,800,"Unknown (288)","Auto, Fired",10
"1661","./23_24_SH_0001.JPG","23_24_SH_0001.JPG","771 kB","BTC5HDP",2019-09-20 22:45:17,"2000x1111","42.0 mm","1/20",2.4,800,"Unknown (288)","Auto, Fired",11
"1666","./23_24_SH_0002.JPG","23_24_SH_0002.JPG","876 kB","BTC5HDP",2019-09-20 22:45:19,"2000x1111","42.0 mm","1/30",2.4,100,"Unknown (288)","Auto, Fired",11
"1670","./23_24_SH_0003.JPG","23_24_SH_0003.JPG","849 kB","BTC5HDP",2019-09-20 22:45:21,"2000x1111","42.0 mm","1/38",2.4,100,"Unknown (288)","Auto, Fired",11
"7","./30_17_DON_0004.JPG","30_17_DON_0004.JPG","840 kB","BTC5HDP",2019-09-21 03:06:11,"2000x1111","42.0 mm","1/20",2.4,400,"Unknown (288)","Auto, Fired",12
"9","./30_17_DON_0005.JPG","30_17_DON_0005.JPG","834 kB","BTC5HDP",2019-09-21 03:06:13,"2000x1111","42.0 mm","1/20",2.4,200,"Unknown (288)","Auto, Fired",12
"11","./30_17_DON_0006.JPG","30_17_DON_0006.JPG","780 kB","BTC5HDP",2019-09-21 03:06:15,"2000x1111","42.0 mm","1/20",2.4,200,"Unknown (288)","Auto, Fired",12
"1771","./15_06_SH_000007.JPG","15_06_SH_000007.JPG","852 kB","",2019-09-21 03:47:12,"2000x1500","","0",2.8,100,"","No Flash",13
"2140","./15_06_SH_000008.JPG","15_06_SH_000008.JPG","850 kB","",2019-09-21 03:47:12,"2000x1500","","0",2.8,100,"","No Flash",13
"2144","./15_06_SH_000009.JPG","15_06_SH_000009.JPG","850 kB","",2019-09-21 03:47:13,"2000x1500","","0",2.8,100,"","No Flash",13
"2147","./15_06_SH_000010.JPG","15_06_SH_000010.JPG","802 kB","",2019-09-21 03:48:48,"2000x1500","","0",2.8,100,"","No Flash",14
"2150","./15_06_SH_000011.JPG","15_06_SH_000011.JPG","803 kB","",2019-09-21 03:48:48,"2000x1500","","0",2.8,100,"","No Flash",14
"2153","./15_06_SH_000012.JPG","15_06_SH_000012.JPG","804 kB","",2019-09-21 03:48:49,"2000x1500","","0",2.8,100,"","No Flash",14
"13","./30_17_DON_0007.JPG","30_17_DON_0007.JPG","791 kB","BTC5HDP",2019-09-21 04:39:02,"2000x1111","42.0 mm","1/20",2.4,200,"Unknown (288)","Auto, Fired",15
"15","./30_17_DON_0008.JPG","30_17_DON_0008.JPG","765 kB","BTC5HDP",2019-09-21 04:39:04,"2000x1111","42.0 mm","1/20",2.4,200,"Unknown (288)","Auto, Fired",15
"17","./30_17_DON_0009.JPG","30_17_DON_0009.JPG","783 kB","BTC5HDP",2019-09-21 04:39:06,"2000x1111","42.0 mm","1/20",2.4,200,"Unknown (288)","Auto, Fired",15
"2157","./15_06_SH_000013.JPG","15_06_SH_000013.JPG","866 kB","",2019-09-21 07:25:38,"2000x1500","","0",2.8,100,"","No Flash",16
"2160","./15_06_SH_000014.JPG","15_06_SH_000014.JPG","866 kB","",2019-09-21 07:25:38,"2000x1500","","0",2.8,100,"","No Flash",16
"2164","./15_06_SH_000015.JPG","15_06_SH_000015.JPG","866 kB","",2019-09-21 07:25:39,"2000x1500","","0",2.8,100,"","No Flash",16
"1625","./02_07_SH_000007.JPG","02_07_SH_000007.JPG","745 kB","",2019-09-21 07:36:14,"2000x1500","","0",2.8,100,"","No Flash",17
"1632","./02_07_SH_000008.JPG","02_07_SH_000008.JPG","745 kB","",2019-09-21 07:36:14,"2000x1500","","0",2.8,100,"","No Flash",17
"1637","./02_07_SH_000009.JPG","02_07_SH_000009.JPG","742 kB","",2019-09-21 07:36:15,"2000x1500","","0",2.8,100,"","No Flash",17
"19","./30_17_DON_0010.JPG","30_17_DON_0010.JPG","847 kB","BTC5HDP",2019-09-21 10:31:28,"2000x1111","42.0 mm","1/95",2.4,100,"Unknown (288)","Auto, Did not fire",18
"21","./30_17_DON_0011.JPG","30_17_DON_0011.JPG","843 kB","BTC5HDP",2019-09-21 10:31:30,"2000x1111","42.0 mm","1/103",2.4,100,"Unknown (288)","Auto, Did not fire",18
"23","./30_17_DON_0012.JPG","30_17_DON_0012.JPG","839 kB","BTC5HDP",2019-09-21 10:31:32,"2000x1111","42.0 mm","1/108",2.4,100,"Unknown (288)","Auto, Did not fire",18
"1689","./23_24_SH_0004.JPG","23_24_SH_0004.JPG","801 kB","BTC5HDP",2019-09-22 02:53:15,"2000x1111","42.0 mm","1/20",2.4,100,"Unknown (288)","Auto, Fired",19
"1692","./23_24_SH_0005.JPG","23_24_SH_0005.JPG","871 kB","BTC5HDP",2019-09-22 02:53:17,"2000x1111","42.0 mm","1/29",2.4,100,"Unknown (288)","Auto, Fired",19
"1850","./23_24_SH_0006.JPG","23_24_SH_0006.JPG","851 kB","BTC5HDP",2019-09-22 02:53:19,"2000x1111","42.0 mm","1/38",2.4,100,"Unknown (288)","Auto, Fired",19
"1854","./23_24_SH_0007.JPG","23_24_SH_0007.JPG","862 kB","BTC5HDP",2019-09-22 03:15:14,"2000x1111","42.0 mm","1/33",2.4,100,"Unknown (288)","Auto, Fired",20
