SourceFile,FileName,FileSize,Model,DateTimeOriginal,ImageSize,FocalLength,ShutterSpeed,Aperture,ISO,WhiteBalance,Flash
./06_05_DEG_001712.JPG,06_05_DEG_001712.JPG,851 kB,,2019:09:28 08:43:06,2000x1500,,0,2.8,100,,No Flash
./06_05_DEG_001713.JPG,06_05_DEG_001713.JPG,851 kB,,2019:09:28 08:43:07,2000x1500,,0,2.8,100,,No Flash
./33_38_DEG_0036.JPG,33_38_DEG_0036.JPG,872 kB,BTC5HDP,2019:10:03 10:43:45,2000x1111,42.0 mm,1/40,2.4,100,Unknown (288),"Auto, Did not fire"
./33_38_DEG_0037.JPG,33_38_DEG_0037.JPG,865 kB,BTC5HDP,2019:10:03 12:37:52,2000x1111,42.0 mm,1/41,2.4,100,Unknown (288),"Auto, Did not fire"
./33_38_DEG_0038.JPG,33_38_DEG_0038.JPG,871 kB,BTC5HDP,2019:10:03 12:37:54,2000x1111,42.0 mm,1/41,2.4,100,Unknown (288),"Auto, Did not fire"
./06_05_DEG_001715.JPG,06_05_DEG_001715.JPG,872 kB,,2019:09:28 08:44:44,2000x1500,,0,2.8,100,,No Flash
./33_38_DEG_0039.JPG,33_38_DEG_0039.JPG,877 kB,BTC5HDP,2019:10:03 12:37:56,2000x1111,42.0 mm,1/41,2.4,100,Unknown (288),"Auto, Did not fire"
./06_05_DEG_001917.JPG,06_05_DEG_001917.JPG,857 kB,,2019:09:28 10:34:34,2000x1500,,0,2.8,100,,No Flash
./33_38_DEG_0040.JPG,33_38_DEG_0040.JPG,719 kB,BTC5HDP,2019:10:04 19:16:21,2000x1111,42.0 mm,1/20,2.4,200,Unknown (288),"Auto, Fired"
./06_05_DEG_001716.JPG,06_05_DEG_001716.JPG,872 kB,,2019:09:28 08:44:45,2000x1500,,0,2.8,100,,No Flash
./06_05_DEG_001921.JPG,06_05_DEG_001921.JPG,871 kB,,2019:09:28 10:37:49,2000x1500,,0,2.8,100,,No Flash
./06_05_DEG_001717.JPG,06_05_DEG_001717.JPG,824 kB,,2019:09:28 08:46:21,2000x1500,,0,2.8,100,,No Flash
./33_38_DEG_0042.JPG,33_38_DEG_0042.JPG,716 kB,BTC5HDP,2019:10:04 19:16:25,2000x1111,42.0 mm,1/20,2.4,200,Unknown (288),"Auto, Fired"
./06_05_DEG_001924.JPG,06_05_DEG_001924.JPG,826 kB,,2019:09:28 10:39:28,2000x1500,,0,2.8,100,,No Flash
./33_38_DEG_0043.JPG,33_38_DEG_0043.JPG,859 kB,BTC5HDP,2019:10:05 06:32:06,2000x1111,42.0 mm,1/20,2.4,200,Unknown (288),"Auto, Fired"
./06_05_DEG_001718.JPG,06_05_DEG_001718.JPG,824 kB,,2019:09:28 08:46:22,2000x1500,,0,2.8,100,,No Flash
./06_05_DEG_001927.JPG,06_05_DEG_001927.JPG,869 kB,,2019:09:28 10:41:06,2000x1500,,0,2.8,100,,No Flash
./33_38_DEG_0044.JPG,33_38_DEG_0044.JPG,854 kB,BTC5HDP,2019:10:05 06:32:08,2000x1111,42.0 mm,1/20,2.4,100,Unknown (288),"Auto, Fired"
./06_05_DEG_001719.JPG,06_05_DEG_001719.JPG,824 kB,,2019:09:28 08:46:22,2000x1500,,0,2.8,100,,No Flash
./33_38_DEG_0045.JPG,33_38_DEG_0045.JPG,846 kB,BTC5HDP,2019:10:05 06:32:10,2000x1111,42.0 mm,1/20,2.4,100,Unknown (288),"Auto, Fired"
./06_05_DEG_001931.JPG,06_05_DEG_001931.JPG,875 kB,,2019:09:28 10:42:45,2000x1500,,0,2.8,100,,No Flash
./06_05_DEG_001720.JPG,06_05_DEG_001720.JPG,831 kB,,2019:09:28 08:47:59,2000x1500,,0,2.8,100,,No Flash
./06_05_DEG_001935.JPG,06_05_DEG_001935.JPG,864 kB,,2019:09:28 10:44:23,2000x1500,,0,2.8,100,,No Flash
./06_05_DEG_001721.JPG,06_05_DEG_001721.JPG,831 kB,,2019:09:28 08:48:00,2000x1500,,0,2.8,100,,No Flash
./33_38_DEG_0047.JPG,33_38_DEG_0047.JPG,829 kB,BTC5HDP,2019:10:08 09:26:42,2000x1111,42.0 mm,1/40,2.4,100,Unknown (288),"Auto, Did not fire"
./06_05_DEG_001722.JPG,06_05_DEG_001722.JPG,830 kB,,2019:09:28 08:48:01,2000x1500,,0,2.8,100,,No Flash
./06_05_DEG_001937.JPG,06_05_DEG_001937.JPG,834 kB,,2019:09:28 10:46:01,2000x1500,,0,2.8,100,,No Flash
./33_38_DEG_0049.JPG,33_38_DEG_0049.JPG,865 kB,BTC5HDP,2019:10:08 20:35:14,2000x1111,42.0 mm,1/20,2.4,200,Unknown (288),"Auto, Fired"
./33_38_DEG_0050.JPG,33_38_DEG_0050.JPG,854 kB,BTC5HDP,2019:10:08 20:35:16,2000x1111,42.0 mm,1/20,2.4,100,Unknown (288),"Auto, Fired"
./06_05_DEG_001723.JPG,06_05_DEG_001723.JPG,846 kB,,2019:09:28 08:49:38,2000x1500,,0,2.8,100,,No Flash
