,Image1,DateTimeOriginal,ForestName,Camera ,Camera_Trap_Days,Date_Out,Date_Checked,choice
58,25_09_SH_0048.JPG,11/20/18 4:32,SH,25,89,18/11/14,19/02/11,OTHERSMALLMAMMAL
59,23_03_SH_0007.JPG,11/20/18 10:16,SH,23,89,18/11/14,19/02/11,SQUIRRELGRAY
60,23_03_SH_0010.JPG,11/20/18 10:18,SH,23,89,18/11/14,19/02/11,SQUIRRELGRAY
61,24_04_BC_0040.JPG,11/20/18 11:28,BC,24,109,18/11/15,19/03/04,SQUIRRELGRAY
62,24_04_BC_0043.JPG,11/20/18 11:41,BC,24,109,18/11/15,19/03/04,DEERWHITETAILED
63,17_24_BC_000037.JPG,11/20/18 12:26,BC,17,109,18/11/15,19/03/04,SQUIRRELGRAY
64,11_13_BC_000016.JPG,11/20/18 14:15,BC,11,109,18/11/15,19/03/04,SOMETHINGHERE
65,17_24_BC_000040.JPG,11/20/18 22:03,BC,17,109,18/11/15,19/03/04,DEERWHITETAILED
66,17_24_BC_000043.JPG,11/20/18 23:17,BC,17,109,18/11/15,19/03/04,DEERWHITETAILED
67,25_09_SH_0051.JPG,11/21/18 3:48,SH,25,89,18/11/14,19/02/11,FOXRED
68,23_03_SH_0013.JPG,11/21/18 12:53,SH,23,89,18/11/14,19/02/11,NOTHINGHERE
69,17_24_BC_000046.JPG,11/21/18 14:18,BC,17,109,18/11/15,19/03/04,DEERWHITETAILED
70,23_03_SH_0016.JPG,11/21/18 18:22,SH,23,89,18/11/14,19/02/11,DEERWHITETAILED
71,25_09_SH_0054.JPG,11/22/18 6:03,SH,25,89,18/11/14,19/02/11,NOTHINGHERE
72,03_05_SH_000007.JPG,11/22/18 9:00,SH,3,89,18/11/14,19/02/11,NOTHINGHERE
73,25_09_SH_0057.JPG,11/22/18 11:47,SH,25,89,18/11/14,19/02/11,NOTHINGHERE
74,25_09_SH_0060.JPG,11/22/18 22:12,SH,25,89,18/11/14,19/02/11,NOTHINGHERE
75,17_24_BC_000049.JPG,11/24/18 12:35,BC,17,109,18/11/15,19/03/04,NOTHINGHERE
76,17_24_BC_000052.JPG,11/24/18 17:34,BC,17,109,18/11/15,19/03/04,SOMETHINGHERE
77,11_13_BC_000019.JPG,11/25/18 8:20,BC,11,109,18/11/15,19/03/04,SQUIRRELGRAY
78,17_24_BC_000055.JPG,11/25/18 8:24,BC,17,109,18/11/15,19/03/04,SQUIRRELGRAY
79,11_13_BC_000022.JPG,11/25/18 8:48,BC,11,109,18/11/15,19/03/04,SQUIRRELGRAY
80,11_13_BC_000025.JPG,11/25/18 9:57,BC,11,109,18/11/15,19/03/04,SQUIRRELGRAY
81,11_13_BC_000028.JPG,11/25/18 9:59,BC,11,109,18/11/15,19/03/04,SQUIRRELGRAY
82,17_24_BC_000058.JPG,11/25/18 10:58,BC,17,109,18/11/15,19/03/04,NOTHINGHERE
83,17_24_BC_000061.JPG,11/25/18 11:47,BC,17,109,18/11/15,19/03/04,SQUIRRELGRAY
84,17_24_BC_000064.JPG,11/25/18 12:15,BC,17,109,18/11/15,19/03/04,SQUIRRELGRAY
85,11_13_BC_000031.JPG,11/25/18 12:25,BC,11,109,18/11/15,19/03/04,SQUIRRELGRAY
86,11_13_BC_000034.JPG,11/25/18 12:43,BC,11,109,18/11/15,19/03/04,SQUIRRELGRAY
87,11_13_BC_000037.JPG,11/25/18 12:47,BC,11,109,18/11/15,19/03/04,NOTHINGHERE
88,03_05_SH_000010.JPG,11/25/18 13:38,SH,3,89,18/11/14,19/02/11,NOTHINGHERE
89,11_13_BC_000040.JPG,11/25/18 14:34,BC,11,109,18/11/15,19/03/04,SQUIRRELGRAY
90,11_13_BC_000043.JPG,11/25/18 15:59,BC,11,109,18/11/15,19/03/04,SOMETHINGHERE
91,11_13_BC_000046.JPG,11/25/18 17:26,BC,11,109,18/11/15,19/03/04,PORCUPINE
92,11_13_BC_000049.JPG,11/25/18 18:36,BC,11,109,18/11/15,19/03/04,PORCUPINE
93,08_23_DEG_000001.JPG,11/26/18 4:46,DEG,8,73,18/11/26,19/02/07,SOMETHINGHERE
94,08_23_DEG_000004.JPG,11/26/18 6:27,DEG,8,73,18/11/26,19/02/07,DEERWHITETAILED
95,11_13_BC_000052.JPG,11/26/18 8:01,BC,11,109,18/11/15,19/03/04,SQUIRRELGRAY
96,11_13_BC_000055.JPG,11/26/18 10:59,BC,11,109,18/11/15,19/03/04,SQUIRRELGRAY
97,17_24_BC_000067.JPG,11/26/18 13:20,BC,17,109,18/11/15,19/03/04,SQUIRRELGRAY
98,21_21_DON_0001.JPG,11/26/18 14:10,DON,21,94,18/11/26,19/02/28,HUMAN
99,25_09_SH_0063.JPG,11/26/18 14:14,SH,25,89,18/11/14,19/02/11,SQUIRRELGRAY
100,24_04_BC_0046.JPG,11/26/18 18:06,BC,24,109,18/11/15,19/03/04,DEERWHITETAILED
101,29_19_DEG_0001.JPG,11/26/18 22:52,DEG,29,73,18/11/26,19/02/07,DEERWHITETAILED
102,24_04_BC_0049.JPG,11/26/18 23:42,BC,24,109,18/11/15,19/03/04,DEERWHITETAILED
103,24_04_BC_0052.JPG,11/26/18 23:48,BC,24,109,18/11/15,19/03/04,DEERWHITETAILED
104,24_04_BC_0055.JPG,11/27/18 6:20,BC,24,109,18/11/15,19/03/04,DEERWHITETAILED
105,08_23_DEG_000007.JPG,11/27/18 7:00,DEG,8,73,18/11/26,19/02/07,SOMETHINGHERE
106,24_04_BC_0058.JPG,11/27/18 7:16,BC,24,109,18/11/15,19/03/04,DEERWHITETAILED
107,24_04_BC_0061.JPG,11/27/18 7:19,BC,24,109,18/11/15,19/03/04,DEERWHITETAILED
108,17_24_BC_000070.JPG,11/27/18 8:56,BC,17,109,18/11/15,19/03/04,SQUIRRELGRAY
109,11_13_BC_000058.JPG,11/27/18 10:21,BC,11,109,18/11/15,19/03/04,NOTHINGHERE
110,25_09_SH_0066.JPG,11/27/18 12:26,SH,25,89,18/11/14,19/02/11,SQUIRRELGRAY
111,23_03_SH_0019.JPG,11/27/18 14:01,SH,23,89,18/11/14,19/02/11,SQUIRRELGRAY
