"","Image1","DateTimeOriginal","ForestName","Camera","Camera_Trap_Days","Date_Out","Date_Checked","choice"
"52","17_24_BC_000031.JPG","2018-11-18 13:05:26","BC",17,109,"18/11/15","19/03/04","SQUIRRELGRAY"
"53","17_24_BC_000034.JPG","2018-11-18 13:07:42","BC",17,109,"18/11/15","19/03/04","SQUIRRELGRAY"
"54","11_13_BC_000007.JPG","2018-11-18 13:28:49","BC",11,109,"18/11/15","19/03/04","NOTHINGHERE"
"55","11_13_BC_000010.JPG","2018-11-18 20:42:35","BC",11,109,"18/11/15","19/03/04","NOTHINGHERE"
"56","11_13_BC_000013.JPG","2018-11-19 03:54:04","BC",11,109,"18/11/15","19/03/04","SOMETHINGHERE"
"57","03_05_SH_000004.JPG","2018-11-19 04:08:12","SH",3,89,"18/11/14","19/02/11","NOTHINGHERE"
"58","25_09_SH_0048.JPG","2018-11-20 04:32:07","SH",25,90,"18/11/13","19/02/11","OTHERSMALLMAMMAL"
"59","23_03_SH_0007.JPG","2018-11-20 10:16:25","SH",23,89,"18/11/14","19/02/11","SQUIRRELGRAY"
"60","23_03_SH_0010.JPG","2018-11-20 10:18:26","SH",23,89,"18/11/14","19/02/11","SQUIRRELGRAY"
"61","24_04_BC_0040.JPG","2018-11-20 11:28:40","BC",24,109,"18/11/15","19/03/04","SQUIRRELGRAY"
"62","24_04_BC_0043.JPG","2018-11-20 11:41:14","BC",24,109,"18/11/15","19/03/04","DEERWHITETAILED"
"63","17_24_BC_000037.JPG","2018-11-20 12:26:41","BC",17,109,"18/11/15","19/03/04","SQUIRRELGRAY"
"64","11_13_BC_000016.JPG","2018-11-20 14:15:17","BC",11,109,"18/11/15","19/03/04","SOMETHINGHERE"
"65","17_24_BC_000040.JPG","2018-11-20 22:03:08","BC",17,109,"18/11/15","19/03/04","DEERWHITETAILED"
"66","17_24_BC_000043.JPG","2018-11-20 23:17:21","BC",17,109,"18/11/15","19/03/04","DEERWHITETAILED"
"67","25_09_SH_0051.JPG","2018-11-21 03:48:02","SH",25,90,"18/11/13","19/02/11","FOXRED"
"68","23_03_SH_0013.JPG","2018-11-21 12:53:35","SH",23,89,"18/11/14","19/02/11","NOTHINGHERE"
"69","17_24_BC_000046.JPG","2018-11-21 14:18:26","BC",17,109,"18/11/15","19/03/04","DEERWHITETAILED"
"70","23_03_SH_0016.JPG","2018-11-21 18:22:51","SH",23,89,"18/11/14","19/02/11","DEERWHITETAILED"
"71","25_09_SH_0054.JPG","2018-11-22 06:03:58","SH",25,90,"18/11/13","19/02/11","NOTHINGHERE"
"72","03_05_SH_000007.JPG","2018-11-22 09:00:17","SH",3,89,"18/11/14","19/02/11","NOTHINGHERE"
"73","25_09_SH_0057.JPG","2018-11-22 11:47:58","SH",25,90,"18/11/13","19/02/11","NOTHINGHERE"
"74","25_09_SH_0060.JPG","2018-11-22 22:12:34","SH",25,90,"18/11/13","19/02/11","NOTHINGHERE"
"75","17_24_BC_000049.JPG","2018-11-24 12:35:20","BC",17,109,"18/11/15","19/03/04","NOTHINGHERE"
"76","17_24_BC_000052.JPG","2018-11-24 17:34:23","BC",17,109,"18/11/15","19/03/04","SOMETHINGHERE"
"77","11_13_BC_000019.JPG","2018-11-25 08:20:21","BC",11,109,"18/11/15","19/03/04","SQUIRRELGRAY"
"78","17_24_BC_000055.JPG","2018-11-25 08:24:20","BC",17,109,"18/11/15","19/03/04","SQUIRRELGRAY"
"79","11_13_BC_000022.JPG","2018-11-25 08:48:13","BC",11,109,"18/11/15","19/03/04","SQUIRRELGRAY"
"80","11_13_BC_000025.JPG","2018-11-25 09:57:03","BC",11,109,"18/11/15","19/03/04","SQUIRRELGRAY"
"81","11_13_BC_000028.JPG","2018-11-25 09:59:43","BC",11,109,"18/11/15","19/03/04","SQUIRRELGRAY"
"82","17_24_BC_000058.JPG","2018-11-25 10:58:14","BC",17,109,"18/11/15","19/03/04","NOTHINGHERE"
"83","17_24_BC_000061.JPG","2018-11-25 11:47:35","BC",17,109,"18/11/15","19/03/04","SQUIRRELGRAY"
"84","17_24_BC_000064.JPG","2018-11-25 12:15:41","BC",17,109,"18/11/15","19/03/04","SQUIRRELGRAY"
"85","11_13_BC_000031.JPG","2018-11-25 12:25:58","BC",11,109,"18/11/15","19/03/04","SQUIRRELGRAY"
"86","11_13_BC_000034.JPG","2018-11-25 12:43:30","BC",11,109,"18/11/15","19/03/04","SQUIRRELGRAY"
"87","11_13_BC_000037.JPG","2018-11-25 12:47:05","BC",11,109,"18/11/15","19/03/04","NOTHINGHERE"
"88","03_05_SH_000010.JPG","2018-11-25 13:38:06","SH",3,89,"18/11/14","19/02/11","NOTHINGHERE"
"89","11_13_BC_000040.JPG","2018-11-25 14:34:17","BC",11,109,"18/11/15","19/03/04","SQUIRRELGRAY"
"90","11_13_BC_000043.JPG","2018-11-25 15:59:20","BC",11,109,"18/11/15","19/03/04","SOMETHINGHERE"
"91","11_13_BC_000046.JPG","2018-11-25 17:26:50","BC",11,109,"18/11/15","19/03/04","PORCUPINE"
"92","11_13_BC_000049.JPG","2018-11-25 18:36:29","BC",11,109,"18/11/15","19/03/04","PORCUPINE"
"93","08_23_DEG_000001.JPG","2018-11-26 04:46:56","DEG",8,73,"18/11/26","19/02/07","SOMETHINGHERE"
"94","08_23_DEG_000004.JPG","2018-11-26 06:27:17","DEG",8,73,"18/11/26","19/02/07","DEERWHITETAILED"
"95","11_13_BC_000052.JPG","2018-11-26 08:01:29","BC",11,109,"18/11/15","19/03/04","SQUIRRELGRAY"
"96","11_13_BC_000055.JPG","2018-11-26 10:59:37","BC",11,109,"18/11/15","19/03/04","SQUIRRELGRAY"
"97","17_24_BC_000067.JPG","2018-11-26 13:20:19","BC",17,109,"18/11/15","19/03/04","SQUIRRELGRAY"
