"","SourceFile","ExifToolVersion","FileName","Directory","FileSize","FileModifyDate","FileAccessDate","FileInodeChangeDate","FilePermissions","FileType","FileTypeExtension","MIMEType","ExifByteOrder","Make","Model","Orientation","XResolution","YResolution","ResolutionUnit","Software","ModifyDate","YCbCrPositioning","ExposureTime","FNumber","ExposureProgram","ISO","ExifVersion","DateTimeOriginal","CreateDate","ComponentsConfiguration","CompressedBitsPerPixel","ShutterSpeedValue","ApertureValue","ExposureCompensation","MaxApertureValue","MeteringMode","LightSource","Flash","FocalLength","Warning","UserComment","FlashpixVersion","ColorSpace","ExifImageWidth","ExifImageHeight","InteropIndex","InteropVersion","FileSource","SceneType","ExposureMode","WhiteBalance","DigitalZoomRatio","FocalLengthIn35mmFormat","SceneCaptureType","Sharpness","Compression","ThumbnailOffset","ThumbnailLength","MPFVersion","NumberOfImages","MPImageFlags","MPImageFormat","MPImageType","MPImageLength","MPImageStart","DependentImage1EntryNumber","DependentImage2EntryNumber","ImageWidth","ImageHeight","EncodingProcess","BitsPerSample","ColorComponents","YCbCrSubSampling","Aperture","ImageSize","PreviewImage","Megapixels","ScaleFactor35efl","ShutterSpeed","ThumbnailImage","CircleOfConfusion","FOV","FocalLength35efl","HyperfocalDistance","LightValue","Event"
"30","./Whippoorwill_Corners_cam3 (14).JPG",11.26,"Whippoorwill_Corners_cam3 (14).JPG",".","3.3 MB","2018:12:16 06:17:52-05:00","2019:02:05 14:31:24-05:00","2019:02:04 12:55:39-05:00","rwx------","JPEG","jpg","image/jpeg","Little-endian (Intel, II)","Prometheus","BTC5HDP","Horizontal (normal)",72,72,"inches","Ver.170105m0","2018:12:16 06:17:52","Co-sited","1/20",2.4,"Program AE",100,220,2018-12-16 06:17:52,"2018:12:16 06:17:52","Y, Cb, Cr, -","undef","1/20",2.4,0,2.3,"Center-weighted average","Unknown","Auto, Fired","42.0 mm","[minor] Unrecognized MakerNotes","M0 ALS0 L62 T70 S8 IR61 C1 Y57 B0 ST4 SNAP2",100,"sRGB",3744,2080,"R98 - DCF basic file (sRGB)",100,"Digital Camera","Directly photographed","Unknown (386)","Unknown (288)",1000,"386 mm","Unknown (386)","Unknown (386)","JPEG (old-style)",2156,4196,100,2,"Dependent child image","JPEG","Large Thumbnail (VGA equivalent)",20067,3483124,0,0,3744,2080,"Baseline DCT, Huffman coding",8,3,"YCbCr4:2:2 (2 1)",2.4,"3744x2080","(Binary data 20067 bytes)",7.8,9.2,"1/20","(Binary data 4196 bytes)","0.003 mm","5.3 deg","42.0 mm (35 mm equivalent: 386.0 mm)","224.82 m",6.8,5
"31","./Whippoorwill_Corners_cam3 (15).JPG",11.26,"Whippoorwill_Corners_cam3 (15).JPG",".","3.3 MB","2018:12:16 06:21:22-05:00","2019:02:04 14:04:15-05:00","2019:02:04 12:55:39-05:00","rwx------","JPEG","jpg","image/jpeg","Little-endian (Intel, II)","Prometheus","BTC5HDP","Horizontal (normal)",72,72,"inches","Ver.170105m0","2018:12:16 06:21:22","Co-sited","1/20",2.4,"Program AE",100,220,2018-12-16 06:21:22,"2018:12:16 06:21:22","Y, Cb, Cr, -","undef","1/20",2.4,0,2.3,"Center-weighted average","Unknown","Auto, Fired","42.0 mm","[minor] Unrecognized MakerNotes","M2 ALS0 L57 T70 S13 IR61 C1 Y97 B0 ST4 SNAP0",100,"sRGB",3744,2080,"R98 - DCF basic file (sRGB)",100,"Digital Camera","Directly photographed","Unknown (386)","Unknown (288)",1000,"386 mm","Unknown (386)","Unknown (386)","JPEG (old-style)",2156,4366,100,2,"Dependent child image","JPEG","Large Thumbnail (VGA equivalent)",20831,3484335,0,0,3744,2080,"Baseline DCT, Huffman coding",8,3,"YCbCr4:2:2 (2 1)",2.4,"3744x2080","(Binary data 20831 bytes)",7.8,9.2,"1/20","(Binary data 4366 bytes)","0.003 mm","5.3 deg","42.0 mm (35 mm equivalent: 386.0 mm)","224.82 m",6.8,6
"4","./Whippoorwill_Corners_cam3 (16).JPG",11.26,"Whippoorwill_Corners_cam3 (16).JPG",".","3.3 MB","2018:12:16 06:21:24-05:00","2019:02:04 14:04:15-05:00","2019:02:04 12:55:39-05:00","rwx------","JPEG","jpg","image/jpeg","Little-endian (Intel, II)","Prometheus","BTC5HDP","Horizontal (normal)",72,72,"inches","Ver.170105m0","2018:12:16 06:21:24","Co-sited","1/20",2.4,"Program AE",200,220,2018-12-16 06:21:24,"2018:12:16 06:21:24","Y, Cb, Cr, -","undef","1/20",2.4,0,2.3,"Center-weighted average","Unknown","Auto, Fired","42.0 mm","[minor] Unrecognized MakerNotes","M1 ALS0 L54 T70 S16 IR61 C0 Y44 B0 ST4 SNAP1",100,"sRGB",3744,2080,"R98 - DCF basic file (sRGB)",100,"Digital Camera","Directly photographed","Unknown (386)","Unknown (288)",1000,"386 mm","Unknown (386)","Unknown (386)","JPEG (old-style)",2156,4409,100,2,"Dependent child image","JPEG","Large Thumbnail (VGA equivalent)",21102,3484777,0,0,3744,2080,"Baseline DCT, Huffman coding",8,3,"YCbCr4:2:2 (2 1)",2.4,"3744x2080","(Binary data 21102 bytes)",7.8,9.2,"1/20","(Binary data 4409 bytes)","0.003 mm","5.3 deg","42.0 mm (35 mm equivalent: 386.0 mm)","224.82 m",5.8,6
"5","./Whippoorwill_Corners_cam3 (17).JPG",11.26,"Whippoorwill_Corners_cam3 (17).JPG",".","3.3 MB","2018:12:16 06:21:26-05:00","2019:02:04 14:04:15-05:00","2019:02:04 12:55:39-05:00","rwx------","JPEG","jpg","image/jpeg","Little-endian (Intel, II)","Prometheus","BTC5HDP","Horizontal (normal)",72,72,"inches","Ver.170105m0","2018:12:16 06:21:26","Co-sited","1/20",2.4,"Program AE",200,220,2018-12-16 06:21:26,"2018:12:16 06:21:26","Y, Cb, Cr, -","undef","1/20",2.4,0,2.3,"Center-weighted average","Unknown","Auto, Fired","42.0 mm","[minor] Unrecognized MakerNotes","M0 ALS0 L53 T70 S17 IR61 C0 Y125 B0 ST4 SNAP2",100,"sRGB",3744,2080,"R98 - DCF basic file (sRGB)",100,"Digital Camera","Directly photographed","Unknown (386)","Unknown (288)",1000,"386 mm","Unknown (386)","Unknown (386)","JPEG (old-style)",2156,4498,100,2,"Dependent child image","JPEG","Large Thumbnail (VGA equivalent)",21527,3484853,0,0,3744,2080,"Baseline DCT, Huffman coding",8,3,"YCbCr4:2:2 (2 1)",2.4,"3744x2080","(Binary data 21527 bytes)",7.8,9.2,"1/20","(Binary data 4498 bytes)","0.003 mm","5.3 deg","42.0 mm (35 mm equivalent: 386.0 mm)","224.82 m",5.8,6
"26","./Whippoorwill_Corners_cam3 (18).JPG",11.26,"Whippoorwill_Corners_cam3 (18).JPG",".","3.3 MB","2018:12:16 06:28:32-05:00","2019:02:05 14:31:24-05:00","2019:02:04 12:55:39-05:00","rwx------","JPEG","jpg","image/jpeg","Little-endian (Intel, II)","Prometheus","BTC5HDP","Horizontal (normal)",72,72,"inches","Ver.170105m0","2018:12:16 06:28:31","Co-sited","1/20",2.4,"Program AE",100,220,2018-12-16 06:28:31,"2018:12:16 06:28:31","Y, Cb, Cr, -","undef","1/20",2.4,0,2.3,"Center-weighted average","Unknown","Auto, Fired","42.0 mm","[minor] Unrecognized MakerNotes","M2 ALS0 L56 T70 S14 IR61 C1 Y116 B0 ST4 SNAP0",100,"sRGB",3744,2080,"R98 - DCF basic file (sRGB)",100,"Digital Camera","Directly photographed","Unknown (386)","Unknown (288)",1000,"386 mm","Unknown (386)","Unknown (386)","JPEG (old-style)",2156,4440,100,2,"Dependent child image","JPEG","Large Thumbnail (VGA equivalent)",21139,3485271,0,0,3744,2080,"Baseline DCT, Huffman coding",8,3,"YCbCr4:2:2 (2 1)",2.4,"3744x2080","(Binary data 21139 bytes)",7.8,9.2,"1/20","(Binary data 4440 bytes)","0.003 mm","5.3 deg","42.0 mm (35 mm equivalent: 386.0 mm)","224.82 m",6.8,7
"35","./Whippoorwill_Corners_cam3 (19).JPG",11.26,"Whippoorwill_Corners_cam3 (19).JPG",".","3.3 MB","2018:12:16 06:28:34-05:00","2019:02:04 14:04:15-05:00","2019:02:04 12:55:40-05:00","rwx------","JPEG","jpg","image/jpeg","Little-endian (Intel, II)","Prometheus","BTC5HDP","Horizontal (normal)",72,72,"inches","Ver.170105m0","2018:12:16 06:28:33","Co-sited","1/20",2.4,"Program AE",200,220,2018-12-16 06:28:33,"2018:12:16 06:28:33","Y, Cb, Cr, -","undef","1/20",2.4,0,2.3,"Center-weighted average","Unknown","Auto, Fired","42.0 mm","[minor] Unrecognized MakerNotes","M1 ALS0 L54 T70 S16 IR61 C0 Y47 B0 ST4 SNAP1",100,"sRGB",3744,2080,"R98 - DCF basic file (sRGB)",100,"Digital Camera","Directly photographed","Unknown (386)","Unknown (288)",1000,"386 mm","Unknown (386)","Unknown (386)","JPEG (old-style)",2156,4434,100,2,"Dependent child image","JPEG","Large Thumbnail (VGA equivalent)",21260,3484974,0,0,3744,2080,"Baseline DCT, Huffman coding",8,3,"YCbCr4:2:2 (2 1)",2.4,"3744x2080","(Binary data 21260 bytes)",7.8,9.2,"1/20","(Binary data 4434 bytes)","0.003 mm","5.3 deg","42.0 mm (35 mm equivalent: 386.0 mm)","224.82 m",5.8,7
"1","./Whippoorwill_Corners_cam3 (20).JPG",11.26,"Whippoorwill_Corners_cam3 (20).JPG",".","3.3 MB","2018:12:16 06:28:36-05:00","2019:02:04 14:04:16-05:00","2019:02:04 12:55:40-05:00","rwx------","JPEG","jpg","image/jpeg","Little-endian (Intel, II)","Prometheus","BTC5HDP","Horizontal (normal)",72,72,"inches","Ver.170105m0","2018:12:16 06:28:35","Co-sited","1/20",2.4,"Program AE",200,220,2018-12-16 06:28:35,"2018:12:16 06:28:35","Y, Cb, Cr, -","undef","1/20",2.4,0,2.3,"Center-weighted average","Unknown","Auto, Fired","42.0 mm","[minor] Unrecognized MakerNotes","M0 ALS0 L53 T70 S17 IR61 C0 Y127 B0 ST4 SNAP2",100,"sRGB",3744,2080,"R98 - DCF basic file (sRGB)",100,"Digital Camera","Directly photographed","Unknown (386)","Unknown (288)",1000,"386 mm","Unknown (386)","Unknown (386)","JPEG (old-style)",2156,4506,100,2,"Dependent child image","JPEG","Large Thumbnail (VGA equivalent)",21658,3485745,0,0,3744,2080,"Baseline DCT, Huffman coding",8,3,"YCbCr4:2:2 (2 1)",2.4,"3744x2080","(Binary data 21658 bytes)",7.8,9.2,"1/20","(Binary data 4506 bytes)","0.003 mm","5.3 deg","42.0 mm (35 mm equivalent: 386.0 mm)","224.82 m",5.8,7
"7","./Whippoorwill_Corners_cam3 (21).JPG",11.26,"Whippoorwill_Corners_cam3 (21).JPG",".","3.3 MB","2018:12:16 06:29:38-05:00","2019:02:05 14:31:24-05:00","2019:02:04 12:55:40-05:00","rwx------","JPEG","jpg","image/jpeg","Little-endian (Intel, II)","Prometheus","BTC5HDP","Horizontal (normal)",72,72,"inches","Ver.170105m0","2018:12:16 06:29:36","Co-sited","1/20",2.4,"Program AE",100,220,2018-12-16 06:29:36,"2018:12:16 06:29:36","Y, Cb, Cr, -","undef","1/20",2.4,0,2.3,"Center-weighted average","Unknown","Auto, Fired","42.0 mm","[minor] Unrecognized MakerNotes","M2 ALS0 L56 T70 S14 IR61 C1 Y115 B0 ST4 SNAP0",100,"sRGB",3744,2080,"R98 - DCF basic file (sRGB)",100,"Digital Camera","Directly photographed","Unknown (386)","Unknown (288)",1000,"386 mm","Unknown (386)","Unknown (386)","JPEG (old-style)",2156,4424,100,2,"Dependent child image","JPEG","Large Thumbnail (VGA equivalent)",21144,3484795,0,0,3744,2080,"Baseline DCT, Huffman coding",8,3,"YCbCr4:2:2 (2 1)",2.4,"3744x2080","(Binary data 21144 bytes)",7.8,9.2,"1/20","(Binary data 4424 bytes)","0.003 mm","5.3 deg","42.0 mm (35 mm equivalent: 386.0 mm)","224.82 m",6.8,8
"28","./Whippoorwill_Corners_cam3 (22).JPG",11.26,"Whippoorwill_Corners_cam3 (22).JPG",".","3.3 MB","2018:12:16 06:29:38-05:00","2019:02:05 14:31:24-05:00","2019:02:04 12:55:40-05:00","rwx------","JPEG","jpg","image/jpeg","Little-endian (Intel, II)","Prometheus","BTC5HDP","Horizontal (normal)",72,72,"inches","Ver.170105m0","2018:12:16 06:29:38","Co-sited","1/20",2.4,"Program AE",200,220,2018-12-16 06:29:38,"2018:12:16 06:29:38","Y, Cb, Cr, -","undef","1/20",2.4,0,2.3,"Center-weighted average","Unknown","Auto, Fired","42.0 mm","[minor] Unrecognized MakerNotes","M1 ALS0 L54 T70 S16 IR61 C0 Y46 B0 ST4 SNAP1",100,"sRGB",3744,2080,"R98 - DCF basic file (sRGB)",100,"Digital Camera","Directly photographed","Unknown (386)","Unknown (288)",1000,"386 mm","Unknown (386)","Unknown (386)","JPEG (old-style)",2156,4377,100,2,"Dependent child image","JPEG","Large Thumbnail (VGA equivalent)",21005,3484784,0,0,3744,2080,"Baseline DCT, Huffman coding",8,3,"YCbCr4:2:2 (2 1)",2.4,"3744x2080","(Binary data 21005 bytes)",7.8,9.2,"1/20","(Binary data 4377 bytes)","0.003 mm","5.3 deg","42.0 mm (35 mm equivalent: 386.0 mm)","224.82 m",5.8,8
"33","./Whippoorwill_Corners_cam3 (23).JPG",11.26,"Whippoorwill_Corners_cam3 (23).JPG",".","3.3 MB","2018:12:16 06:29:40-05:00","2019:02:04 14:04:16-05:00","2019:02:04 12:55:40-05:00","rwx------","JPEG","jpg","image/jpeg","Little-endian (Intel, II)","Prometheus","BTC5HDP","Horizontal (normal)",72,72,"inches","Ver.170105m0","2018:12:16 06:29:40","Co-sited","1/20",2.4,"Program AE",200,220,2018-12-16 06:29:40,"2018:12:16 06:29:40","Y, Cb, Cr, -","undef","1/20",2.4,0,2.3,"Center-weighted average","Unknown","Auto, Fired","42.0 mm","[minor] Unrecognized MakerNotes","M0 ALS0 L53 T70 S17 IR61 C0 Y125 B0 ST4 SNAP2",100,"sRGB",3744,2080,"R98 - DCF basic file (sRGB)",100,"Digital Camera","Directly photographed","Unknown (386)","Unknown (288)",1000,"386 mm","Unknown (386)","Unknown (386)","JPEG (old-style)",2156,4453,100,2,"Dependent child image","JPEG","Large Thumbnail (VGA equivalent)",21435,3485517,0,0,3744,2080,"Baseline DCT, Huffman coding",8,3,"YCbCr4:2:2 (2 1)",2.4,"3744x2080","(Binary data 21435 bytes)",7.8,9.2,"1/20","(Binary data 4453 bytes)","0.003 mm","5.3 deg","42.0 mm (35 mm equivalent: 386.0 mm)","224.82 m",5.8,8
"19","./Whippoorwill_Corners_cam3 (24).JPG",11.26,"Whippoorwill_Corners_cam3 (24).JPG",".","3.3 MB","2018:12:17 09:57:12-05:00","2019:02:04 14:04:38-05:00","2019:02:04 12:55:40-05:00","rwx------","JPEG","jpg","image/jpeg","Little-endian (Intel, II)","Prometheus","BTC5HDP","Horizontal (normal)",72,72,"inches","Ver.170105m0","2018:12:17 09:57:10","Co-sited","1/15",2.4,"Program AE",200,220,2018-12-17 09:57:10,"2018:12:17 09:57:10","Y, Cb, Cr, -","undef","1/15",2.4,0,2.3,"Center-weighted average","Unknown","Auto, Did not fire","42.0 mm","[minor] Unrecognized MakerNotes","M2 ALS133 L33 T64 S31 IR0 C1 Y180 B0 ST4 SNAP0",100,"sRGB",3744,2080,"R98 - DCF basic file (sRGB)",100,"Digital Camera","Directly photographed","Unknown (386)","Unknown (288)",1000,"386 mm","Unknown (386)","Unknown (386)","JPEG (old-style)",2156,9300,100,2,"Dependent child image","JPEG","Large Thumbnail (VGA equivalent)",49299,3415525,0,0,3744,2080,"Baseline DCT, Huffman coding",8,3,"YCbCr4:2:2 (2 1)",2.4,"3744x2080","(Binary data 49299 bytes)",7.8,9.2,"1/15","(Binary data 9300 bytes)","0.003 mm","5.3 deg","42.0 mm (35 mm equivalent: 386.0 mm)","224.82 m",5.4,9
"20","./Whippoorwill_Corners_cam3 (25).JPG",11.26,"Whippoorwill_Corners_cam3 (25).JPG",".","3.3 MB","2018:12:17 09:57:12-05:00","2019:02:04 14:04:38-05:00","2019:02:04 12:55:40-05:00","rwx------","JPEG","jpg","image/jpeg","Little-endian (Intel, II)","Prometheus","BTC5HDP","Horizontal (normal)",72,72,"inches","Ver.170105m0","2018:12:17 09:57:13","Co-sited","1/15",2.4,"Program AE",200,220,2018-12-17 09:57:13,"2018:12:17 09:57:13","Y, Cb, Cr, -","undef","1/15",2.4,0,2.3,"Center-weighted average","Unknown","Auto, Did not fire","42.0 mm","[minor] Unrecognized MakerNotes","M1 ALS133 L34 T64 S30 IR0 C0 Y170 B0 ST1 SNAP1",100,"sRGB",3744,2080,"R98 - DCF basic file (sRGB)",100,"Digital Camera","Directly photographed","Unknown (386)","Unknown (288)",1000,"386 mm","Unknown (386)","Unknown (386)","JPEG (old-style)",2156,9309,100,2,"Dependent child image","JPEG","Large Thumbnail (VGA equivalent)",49224,3415370,0,0,3744,2080,"Baseline DCT, Huffman coding",8,3,"YCbCr4:2:2 (2 1)",2.4,"3744x2080","(Binary data 49224 bytes)",7.8,9.2,"1/15","(Binary data 9309 bytes)","0.003 mm","5.3 deg","42.0 mm (35 mm equivalent: 386.0 mm)","224.82 m",5.4,9
"9","./Whippoorwill_Corners_cam3 (26).JPG",11.26,"Whippoorwill_Corners_cam3 (26).JPG",".","3.3 MB","2018:12:17 09:57:14-05:00","2019:02:04 14:04:38-05:00","2019:02:04 12:55:40-05:00","rwx------","JPEG","jpg","image/jpeg","Little-endian (Intel, II)","Prometheus","BTC5HDP","Horizontal (normal)",72,72,"inches","Ver.170105m0","2018:12:17 09:57:15","Co-sited","1/15",2.4,"Program AE",200,220,2018-12-17 09:57:15,"2018:12:17 09:57:15","Y, Cb, Cr, -","undef","1/15",2.4,0,2.3,"Center-weighted average","Unknown","Auto, Did not fire","42.0 mm","[minor] Unrecognized MakerNotes","M0 ALS133 L34 T64 S30 IR0 C0 Y164 B0 ST1 SNAP2",100,"sRGB",3744,2080,"R98 - DCF basic file (sRGB)",100,"Digital Camera","Directly photographed","Unknown (386)","Unknown (288)",1000,"386 mm","Unknown (386)","Unknown (386)","JPEG (old-style)",2156,9293,100,2,"Dependent child image","JPEG","Large Thumbnail (VGA equivalent)",49284,3415285,0,0,3744,2080,"Baseline DCT, Huffman coding",8,3,"YCbCr4:2:2 (2 1)",2.4,"3744x2080","(Binary data 49284 bytes)",7.8,9.2,"1/15","(Binary data 9293 bytes)","0.003 mm","5.3 deg","42.0 mm (35 mm equivalent: 386.0 mm)","224.82 m",5.4,9
"13","./Whippoorwill_Corners_cam3 (27).JPG",11.26,"Whippoorwill_Corners_cam3 (27).JPG",".","3.3 MB","2018:12:23 18:11:30-05:00","2019:02:05 14:31:24-05:00","2019:02:04 12:55:40-05:00","rwx------","JPEG","jpg","image/jpeg","Little-endian (Intel, II)","Prometheus","BTC5HDP","Horizontal (normal)",72,72,"inches","Ver.170105m0","2018:12:23 18:11:29","Co-sited","1/20",2.4,"Program AE",200,220,2018-12-23 18:11:29,"2018:12:23 18:11:29","Y, Cb, Cr, -","undef","1/20",2.4,0,2.3,"Center-weighted average","Unknown","Auto, Fired","42.0 mm","[minor] Unrecognized MakerNotes","M2 ALS0 L42 T70 S28 IR61 C1 Y78 B0 ST4 SNAP0",100,"sRGB",3744,2080,"R98 - DCF basic file (sRGB)",100,"Digital Camera","Directly photographed","Unknown (386)","Unknown (288)",1000,"386 mm","Unknown (386)","Unknown (386)","JPEG (old-style)",2156,4643,100,2,"Dependent child image","JPEG","Large Thumbnail (VGA equivalent)",22024,3483293,0,0,3744,2080,"Baseline DCT, Huffman coding",8,3,"YCbCr4:2:2 (2 1)",2.4,"3744x2080","(Binary data 22024 bytes)",7.8,9.2,"1/20","(Binary data 4643 bytes)","0.003 mm","5.3 deg","42.0 mm (35 mm equivalent: 386.0 mm)","224.82 m",5.8,10
"16","./Whippoorwill_Corners_cam3 (28).JPG",11.26,"Whippoorwill_Corners_cam3 (28).JPG",".","3.3 MB","2018:12:23 18:11:30-05:00","2019:02:04 14:04:17-05:00","2019:02:04 12:55:40-05:00","rwx------","JPEG","jpg","image/jpeg","Little-endian (Intel, II)","Prometheus","BTC5HDP","Horizontal (normal)",72,72,"inches","Ver.170105m0","2018:12:23 18:11:31","Co-sited","1/20",2.4,"Program AE",100,220,2018-12-23 18:11:31,"2018:12:23 18:11:31","Y, Cb, Cr, -","undef","1/20",2.4,0,2.3,"Center-weighted average","Unknown","Auto, Fired","42.0 mm","[minor] Unrecognized MakerNotes","M1 ALS0 L56 T70 S14 IR61 C0 Y94 B0 ST4 SNAP1",100,"sRGB",3744,2080,"R98 - DCF basic file (sRGB)",100,"Digital Camera","Directly photographed","Unknown (386)","Unknown (288)",1000,"386 mm","Unknown (386)","Unknown (386)","JPEG (old-style)",2156,4284,100,2,"Dependent child image","JPEG","Large Thumbnail (VGA equivalent)",20105,3483097,0,0,3744,2080,"Baseline DCT, Huffman coding",8,3,"YCbCr4:2:2 (2 1)",2.4,"3744x2080","(Binary data 20105 bytes)",7.8,9.2,"1/20","(Binary data 4284 bytes)","0.003 mm","5.3 deg","42.0 mm (35 mm equivalent: 386.0 mm)","224.82 m",6.8,10
"23","./Whippoorwill_Corners_cam3 (29).JPG",11.26,"Whippoorwill_Corners_cam3 (29).JPG",".","3.3 MB","2018:12:23 18:11:32-05:00","2019:02:05 14:31:24-05:00","2019:02:04 12:55:40-05:00","rwx------","JPEG","jpg","image/jpeg","Little-endian (Intel, II)","Prometheus","BTC5HDP","Horizontal (normal)",72,72,"inches","Ver.170105m0","2018:12:23 18:11:33","Co-sited","1/20",2.4,"Program AE",100,220,2018-12-23 18:11:33,"2018:12:23 18:11:33","Y, Cb, Cr, -","undef","1/20",2.4,0,2.3,"Center-weighted average","Unknown","Auto, Fired","42.0 mm","[minor] Unrecognized MakerNotes","M0 ALS0 L62 T70 S8 IR61 C1 Y62 B0 ST4 SNAP2",100,"sRGB",3744,2080,"R98 - DCF basic file (sRGB)",100,"Digital Camera","Directly photographed","Unknown (386)","Unknown (288)",1000,"386 mm","Unknown (386)","Unknown (386)","JPEG (old-style)",2156,4171,100,2,"Dependent child image","JPEG","Large Thumbnail (VGA equivalent)",19531,3482994,0,0,3744,2080,"Baseline DCT, Huffman coding",8,3,"YCbCr4:2:2 (2 1)",2.4,"3744x2080","(Binary data 19531 bytes)",7.8,9.2,"1/20","(Binary data 4171 bytes)","0.003 mm","5.3 deg","42.0 mm (35 mm equivalent: 386.0 mm)","224.82 m",6.8,10
"10","./Whippoorwill_Corners_cam3 (30).JPG",11.26,"Whippoorwill_Corners_cam3 (30).JPG",".","3.4 MB","2018:12:29 05:51:42-05:00","2019:02:04 14:04:18-05:00","2019:02:04 12:55:40-05:00","rwx------","JPEG","jpg","image/jpeg","Little-endian (Intel, II)","Prometheus","BTC5HDP","Horizontal (normal)",72,72,"inches","Ver.170105m0","2018:12:29 05:51:42","Co-sited","1/20",2.4,"Program AE",400,220,2018-12-29 05:51:42,"2018:12:29 05:51:42","Y, Cb, Cr, -","undef","1/20",2.4,0,2.3,"Center-weighted average","Unknown","Auto, Fired","42.0 mm","[minor] Unrecognized MakerNotes","M2 ALS0 L30 T70 S40 IR61 C1 Y47 B0 ST4 SNAP0",100,"sRGB",3744,2080,"R98 - DCF basic file (sRGB)",100,"Digital Camera","Directly photographed","Unknown (386)","Unknown (288)",1000,"386 mm","Unknown (386)","Unknown (386)","JPEG (old-style)",2156,4839,100,2,"Dependent child image","JPEG","Large Thumbnail (VGA equivalent)",23998,3489592,0,0,3744,2080,"Baseline DCT, Huffman coding",8,3,"YCbCr4:2:2 (2 1)",2.4,"3744x2080","(Binary data 23998 bytes)",7.8,9.2,"1/20","(Binary data 4839 bytes)","0.003 mm","5.3 deg","42.0 mm (35 mm equivalent: 386.0 mm)","224.82 m",4.8,11
"12","./Whippoorwill_Corners_cam3 (31).JPG",11.26,"Whippoorwill_Corners_cam3 (31).JPG",".","3.3 MB","2018:12:29 05:51:44-05:00","2019:02:05 14:31:24-05:00","2019:02:04 12:55:40-05:00","rwx------","JPEG","jpg","image/jpeg","Little-endian (Intel, II)","Prometheus","BTC5HDP","Horizontal (normal)",72,72,"inches","Ver.170105m0","2018:12:29 05:51:44","Co-sited","1/20",2.4,"Program AE",200,220,2018-12-29 05:51:44,"2018:12:29 05:51:44","Y, Cb, Cr, -","undef","1/20",2.4,0,2.3,"Center-weighted average","Unknown","Auto, Fired","42.0 mm","[minor] Unrecognized MakerNotes","M1 ALS0 L45 T70 S25 IR61 C0 Y88 B0 ST4 SNAP1",100,"sRGB",3744,2080,"R98 - DCF basic file (sRGB)",100,"Digital Camera","Directly photographed","Unknown (386)","Unknown (288)",1000,"386 mm","Unknown (386)","Unknown (386)","JPEG (old-style)",2156,4474,100,2,"Dependent child image","JPEG","Large Thumbnail (VGA equivalent)",22593,3487398,0,0,3744,2080,"Baseline DCT, Huffman coding",8,3,"YCbCr4:2:2 (2 1)",2.4,"3744x2080","(Binary data 22593 bytes)",7.8,9.2,"1/20","(Binary data 4474 bytes)","0.003 mm","5.3 deg","42.0 mm (35 mm equivalent: 386.0 mm)","224.82 m",5.8,11
"18","./Whippoorwill_Corners_cam3 (32).JPG",11.26,"Whippoorwill_Corners_cam3 (32).JPG",".","3.3 MB","2018:12:29 05:51:46-05:00","2019:02:05 14:31:24-05:00","2019:02:04 12:55:40-05:00","rwx------","JPEG","jpg","image/jpeg","Little-endian (Intel, II)","Prometheus","BTC5HDP","Horizontal (normal)",72,72,"inches","Ver.170105m0","2018:12:29 05:51:46","Co-sited","1/20",2.4,"Program AE",200,220,2018-12-29 05:51:46,"2018:12:29 05:51:46","Y, Cb, Cr, -","undef","1/20",2.4,0,2.3,"Center-weighted average","Unknown","Auto, Fired","42.0 mm","[minor] Unrecognized MakerNotes","M0 ALS0 L51 T70 S19 IR61 C0 Y115 B0 ST4 SNAP2",100,"sRGB",3744,2080,"R98 - DCF basic file (sRGB)",100,"Digital Camera","Directly photographed","Unknown (386)","Unknown (288)",1000,"386 mm","Unknown (386)","Unknown (386)","JPEG (old-style)",2156,4328,100,2,"Dependent child image","JPEG","Large Thumbnail (VGA equivalent)",21811,3486768,0,0,3744,2080,"Baseline DCT, Huffman coding",8,3,"YCbCr4:2:2 (2 1)",2.4,"3744x2080","(Binary data 21811 bytes)",7.8,9.2,"1/20","(Binary data 4328 bytes)","0.003 mm","5.3 deg","42.0 mm (35 mm equivalent: 386.0 mm)","224.82 m",5.8,11
