"psi(Road + Crops + Residential + Pasture),p(.)",,,,
estimate,std.error,,,
psi.a1,:,46.442746,3979785.955,
psi.Road_density_033km,:,0.088931,91346.13481,
psi.Per_Row_crops_033km,:,-0.040545,87287.2538,
psi.Per_low_intensity_residentia,:,0.135175,95225.36411,
psi.Per_Pasture_hay_033km,:,-0.062377,89118.60688,
P[109].b1,:,-3.348784,0.148405,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
